model,dataset,setting,quantizer,quantizer_backend,h_label,h,probe_dirs,loss_plus,loss_minus,finite_difference,fd_h_over_2,richardson_self_consistency,finite_rate,delta_q_norm,nominal_delta_norm,alignment,norm_ratio,active_frac,code_change_frac,clip_frac,clip_frac_w_plus,clip_frac_w_minus,saturation_frac,saturation_frac_w,scale_min_global,scale_median_weighted,scale_max_global,alpha_mean,alpha_lt_1_frac,grid_id_sharing_check,scale_id_sharing_check,pair_shared_grid_check,fresh_round_codes_check,corr_fd_true,nMSE_fd_true,true_gradient_metrics
opt-1.3b,SST-5,opt_1p3b_sst5,awq,awq_style_g128_fake_quant,1e-5,1e-05,4,1.76220703125,1.763916015625,-85.44921874999999,146.484375,1.8958333333333208,1.0,3.085219369578235,0.6951128240455996,0.22230134475486468,4.438444041321439,0.03676841718455156,0.03676841718455156,0.008298779527346293,0.008297536936071184,0.008297585157884492,0.008298779527346293,0.008298779527346293,1.8713042663875967e-05,0.0004892059286400278,0.003937007859349251,0.9906172686152988,0.09883689880371094,True,True,True,True,,,unavailable_not_computed
opt-1.3b,SST-5,opt_1p3b_sst5,awq,awq_style_g128_fake_quant,3e-5,3e-05,4,1.758544921875,1.7587890625,-4.069010416666668,-65.10416666666667,1.0874999999999717,1.0,5.338203782194816,2.085327377042075,0.3856005767353927,2.559887642167489,0.10985599623786078,0.10985599623786078,0.008298779527346293,0.008291906987627348,0.008291870355606079,0.008298779527346293,0.008298779527346293,1.8713042663875967e-05,0.0004892059286400278,0.003937007859349251,0.9906172686152988,0.09883689880371094,True,True,True,True,,,unavailable_not_computed
opt-1.3b,SST-5,opt_1p3b_sst5,awq,awq_style_g128_fake_quant,1e-4,0.0001,4,1.7626953125,1.766845703125,-20.751953125,-24.4140625,2.8427083333332615,1.0,9.915269762559912,6.951056429439008,0.6946929450524469,1.4264406950625526,0.3433033697721031,0.3433033697721031,0.008298779527346293,0.008120249956846237,0.008119832310411666,0.008298779527346293,0.008298779527346293,1.8713042663875967e-05,0.0004892059286400278,0.003937007859349251,0.9906172686152988,0.09883689880371094,True,True,True,True,,,unavailable_not_computed
opt-1.3b,SST-5,opt_1p3b_sst5,awq,awq_style_g128_fake_quant,3e-4,0.0003,4,1.763916015625,1.777099609375,-21.97265625,-56.96614583333334,11393229166667.049,1.0,22.09025107837395,20.853304192725755,0.9394821005210465,1.0593165895546164,0.6884954186777273,0.6884954186777273,0.008298779527346293,0.006861783357130157,0.006861293274495337,0.008298779527346293,0.008298779527346293,1.8713042663875967e-05,0.0004892059286400278,0.003937007859349251,0.9906172686152988,0.09883689880371094,True,True,True,True,,,unavailable_not_computed
opt-1.3b,SST-5,opt_1p3b_sst5,awq,awq_style_g128_fake_quant,1e-3,0.001,4,1.826904296875,1.770751953125,28.076171875,25.390625,0.29069756571692174,1.0,69.66874360994773,69.51144215024199,0.992761021470636,1.002262957776682,0.8994302757912211,0.8994302757912211,0.008298779527346293,0.005819529294967651,0.0058212559670209885,0.008298779527346293,0.008298779527346293,1.8713042663875967e-05,0.0004892059286400278,0.003937007859349251,0.9906172686152988,0.09883689880371094,True,True,True,True,,,unavailable_not_computed
opt-1.3b,SST-5,opt_1p3b_sst5,awq,awq_style_g128_fake_quant,2e-3,0.002,4,1.7255859375,1.738525390625,-3.23486328125,-16.9677734375,0.3388877249772643,1.0,138.66466270611005,139.02326568549424,0.9970576399405574,0.9974205541611922,0.9490517744173607,0.9490517744173607,0.008298779527346293,0.006007961514923308,0.006007467086116473,0.008298779527346293,0.008298779527346293,1.8713042663875967e-05,0.0004892059286400278,0.003937007859349251,0.9906172686152988,0.09883689880371094,True,True,True,True,,,unavailable_not_computed
opt-1.3b,SST-5,opt_1p3b_sst5,awq,awq_style_g128_fake_quant,3e-3,0.003,4,1.478759765625,1.8447265625,-60.994466145833336,-78.125,0.4793395917028178,1.0,207.70149140455052,208.53593207899414,0.9978105493225433,0.9959985760611867,0.965821233474546,0.965821233474546,0.008298779527346293,0.006569468312793308,0.006571931764483452,0.008298779527346293,0.008298779527346293,1.8713042663875967e-05,0.0004892059286400278,0.003937007859349251,0.9906172686152988,0.09883689880371094,True,True,True,True,,,unavailable_not_computed
opt-1.3b,SST-5,opt_1p3b_sst5,awq,awq_style_g128_fake_quant,5e-3,0.005,4,2.0009765625,1.748779296875,25.2197265625,11.42578125,1.2834734967669836,1.0,345.39859330635954,347.5536122520439,0.9980138972228867,0.9937994632585303,0.9793469051106108,0.9793469051106108,0.008298779527346293,0.008502713508076139,0.008502051441205872,0.008298779527346293,0.008298779527346293,1.8713042663875967e-05,0.0004892059286400278,0.003937007859349251,0.9906172686152988,0.09883689880371094,True,True,True,True,,,unavailable_not_computed
opt-1.3b,SST-5,opt_1p3b_sst5,awq,awq_style_g128_fake_quant,1e-2,0.01,4,2.54150390625,2.29150390625,12.5,-0.244140625,2.8503950620372946,1.0,684.8312706317507,695.1203872181925,0.9968838651883728,0.9851980796757226,0.9895893618878391,0.9895893618878391,0.008298779527346293,0.018264506426122453,0.01826106094651752,0.008298779527346293,0.008298779527346293,1.8713042663875967e-05,0.0004892059286400278,0.003937007859349251,0.9906172686152988,0.09883689880371094,True,True,True,True,,,unavailable_not_computed
opt-1.3b,SST-5,opt_1p3b_sst5,rtnclip,G128_RTNClip_shared_grid_fake_quant,1e-5,1e-05,4,2.32275390625,2.32666015625,-195.3125,-146.48437499999997,48828125000000.305,1.0,3.112299614597676,0.6951172250075752,0.22180096294461024,4.4773737480934095,0.036647333660059504,0.036647333660059504,0.008009990056355795,0.008008711040019989,0.008008784924944242,0.008009990056355795,0.008009990056355795,1.8713042663875967e-05,0.0004948476688847828,0.003937007859349251,1.0,0.0,True,True,True,True,,,unavailable_not_computed
opt-1.3b,SST-5,opt_1p3b_sst5,rtnclip,G128_RTNClip_shared_grid_fake_quant,3e-5,3e-05,4,2.33544921875,2.32080078125,244.140625,227.86458333333331,0.6666666666666583,1.0,5.382212272194285,2.085332358464341,0.38448015664365726,2.580985352305278,0.10937461567421755,0.10937461567421755,0.008009990056355795,0.008002864610817697,0.008002870612674289,0.008009990056355795,0.008009990056355795,1.8713042663875967e-05,0.0004948476688847828,0.003937007859349251,1.0,0.0,True,True,True,True,,,unavailable_not_computed
opt-1.3b,SST-5,opt_1p3b_sst5,rtnclip,G128_RTNClip_shared_grid_fake_quant,1e-4,0.0001,4,2.3076171875,2.30908203125,-7.32421875,-14.6484375,1.145833333333311,1.0,9.978309770254233,6.951227358424874,0.6919605195491313,1.435474522810038,0.3412761299146546,0.3412761299146546,0.008009990056355795,0.007819063340624172,0.007819505408406258,0.008009990056355795,0.008009990056355795,1.8713042663875967e-05,0.0004948476688847828,0.003937007859349251,1.0,0.0,True,True,True,True,,,unavailable_not_computed
opt-1.3b,SST-5,opt_1p3b_sst5,rtnclip,G128_RTNClip_shared_grid_fake_quant,3e-4,0.0003,4,2.31103515625,2.30517578125,9.765625000000004,43.94531250000001,0.42542989417988586,1.0,22.123566875418078,20.853486090724736,0.9387133408091738,1.0609049623073745,0.6867000092234876,0.6867000092234876,0.008009990056355795,0.006423518682519595,0.006422669937213262,0.008009990056355795,0.008009990056355795,1.8713042663875967e-05,0.0004948476688847828,0.003937007859349251,1.0,0.0,True,True,True,True,,,unavailable_not_computed
opt-1.3b,SST-5,opt_1p3b_sst5,rtnclip,G128_RTNClip_shared_grid_fake_quant,1e-3,0.001,4,2.16357421875,2.3818359375,-109.130859375,-136.23046875,0.17995671489173418,1.0,69.69531609482107,69.51131832510423,0.9930293552209168,1.002647018892906,0.8993731314937274,0.8993731314937274,0.008009990056355795,0.005231945051087273,0.0052333420349491965,0.008009990056355795,0.008009990056355795,1.8713042663875967e-05,0.0004948476688847828,0.003937007859349251,1.0,0.0,True,True,True,True,,,unavailable_not_computed
opt-1.3b,SST-5,opt_1p3b_sst5,rtnclip,G128_RTNClip_shared_grid_fake_quant,2e-3,0.002,4,2.10302734375,2.37451171875,-67.87109375,-36.376953125,0.7012864389508844,1.0,138.7090054023776,139.02433094738586,0.9973800442977899,0.9977318679189375,0.9493907497574886,0.9493907497574886,0.008009990056355795,0.0053950825499163736,0.005394768383767869,0.008009990056355795,0.008009990056355795,1.8713042663875967e-05,0.0004948476688847828,0.003937007859349251,1.0,0.0,True,True,True,True,,,unavailable_not_computed
opt-1.3b,SST-5,opt_1p3b_sst5,rtnclip,G128_RTNClip_shared_grid_fake_quant,3e-3,0.003,4,2.127197265625,2.10400390625,3.865559895833332,6.184895833333334,3.3585736439640765,1.0,207.7655486958833,208.53400159970604,0.9981099157608284,0.9963149755083616,0.9662218934131993,0.9662218934131993,0.008009990056355795,0.005964130370153321,0.005962871015071869,0.008009990056355795,0.008009990056355795,1.8713042663875967e-05,0.0004948476688847828,0.003937007859349251,1.0,0.0,True,True,True,True,,,unavailable_not_computed
opt-1.3b,SST-5,opt_1p3b_sst5,rtnclip,G128_RTNClip_shared_grid_fake_quant,5e-3,0.005,4,2.322265625,3.05712890625,-73.486328125,-88.818359375,0.2153835639770969,1.0,345.5265237042958,347.5562868163104,0.9982689548243409,0.9941599010392117,0.9797272940890657,0.9797272940890657,0.008009990056355795,0.007887413104375204,0.007885182483328713,0.008009990056355795,0.008009990056355795,1.8713042663875967e-05,0.0004948476688847828,0.003937007859349251,1.0,0.0,True,True,True,True,,,unavailable_not_computed
opt-1.3b,SST-5,opt_1p3b_sst5,rtnclip,G128_RTNClip_shared_grid_fake_quant,1e-2,0.01,4,2.97705078125,2.5244140625,22.6318359375,-2.9296875,0.8983010988335279,1.0,685.2115618148028,695.10651798089,0.9971033796006405,0.9857648347111754,0.989859958489736,0.989859958489736,0.008009990056355795,0.01746943924162123,0.017472711081306137,0.008009990056355795,0.008009990056355795,1.8713042663875967e-05,0.0004948476688847828,0.003937007859349251,1.0,0.0,True,True,True,True,,,unavailable_not_computed
roberta-large,SST-5,roberta_large_sst5,awq,awq_style_g128_fake_quant,1e-5,1e-05,4,1.689453125,1.689453125,-5.329070518200751e-15,-24.414062499999996,36621093750000.305,1.0,1.5807243452713282,0.377129099180628,0.23586446200686492,4.191467447838315,0.03616753414411017,0.03616753414411017,0.008067213961136244,0.008067074053568586,0.008067168939799238,0.008067213961136244,0.008067213961136244,0.0002494271320756525,0.0004376843917212532,0.0009059155127033591,0.9988737488075861,0.022395098337679015,True,True,True,True,,,unavailable_not_computed
roberta-large,SST-5,roberta_large_sst5,awq,awq_style_g128_fake_quant,3e-5,3e-05,4,1.690185546875,1.6875,44.759114583333336,-8.13802083333333,16276041666667.025,1.0,2.736708718790742,1.13138656496292,0.40900561110102823,2.418898015875215,0.1084312045003942,0.1084312045003942,0.008067213961136244,0.008067083139400404,0.008066882087611013,0.008067213961136244,0.008067213961136244,0.0002494271320756525,0.0004376843917212532,0.0009059155127033591,0.9988737488075861,0.022395098337679015,True,True,True,True,,,unavailable_not_computed
roberta-large,SST-5,roberta_large_sst5,awq,awq_style_g128_fake_quant,1e-4,0.0001,4,1.687744140625,1.68603515625,8.544921875,46.38671875,1220703125000.625,1.0,5.070617753087739,3.7712612402731063,0.7381600914217044,1.3445416360268236,0.35621400924369295,0.35621400924369295,0.008067213961136244,0.00794311587072905,0.007943883668428946,0.008067213961136244,0.008067213961136244,0.0002494271320756525,0.0004376843917212532,0.0009059155127033591,0.9988737488075861,0.022395098337679015,True,True,True,True,,,unavailable_not_computed
roberta-large,SST-5,roberta_large_sst5,awq,awq_style_g128_fake_quant,3e-4,0.0003,4,1.69189453125,1.68212890625,16.276041666666668,34.993489583333336,0.5151785714285518,1.0,11.794478642883734,11.313739279703714,0.9552549391067767,1.0424916425430846,0.715355858216276,0.715355858216276,0.008067213961136244,0.006363558456000698,0.006363658992711495,0.008067213961136244,0.008067213961136244,0.0002494271320756525,0.0004376843917212532,0.0009059155127033591,0.9988737488075861,0.022395098337679015,True,True,True,True,,,unavailable_not_computed
roberta-large,SST-5,roberta_large_sst5,awq,awq_style_g128_fake_quant,1e-3,0.001,4,1.6875,1.689697265625,-1.0986328125,-2.44140625,0.6238972401577674,1.0,37.742609454048335,37.711986924837,0.9946936809510818,1.0008120105078138,0.9107349447716121,0.9107349447716121,0.008067213961136244,0.005308621065198792,0.005308493109919103,0.008067213961136244,0.008067213961136244,0.0002494271320756525,0.0004376843917212532,0.0009059155127033591,0.9988737488075861,0.022395098337679015,True,True,True,True,,,unavailable_not_computed
