group,model,dataset,seed,h,nmse,corr,mse,bias,mae,median_abs_error,alignment_eff,norm_ratio_eff,zero_coord_frac_eff,rms_snap_error,visibility_pass,empirical_oracle_flags
A_seed,roberta-large,sst-5,16,1e-05,0.03075950540589861,1.0,13.528565906752576,2.730536186934734,2.730536186934734,2.730536186934734,0.795288254759872,0.9664206624441853,0.5935319723057424,1.2598829010716681e-05,False,empirical_max_corr
A_seed,roberta-large,sst-5,16,3e-05,0.0013003773796935142,1.0,0.5719286071960162,-0.384799913325681,0.6510434961663965,0.6510434961663965,0.9414202633901941,1.0197249848806396,0.30569567334059194,2.0773048724214702e-05,False,
A_seed,roberta-large,sst-5,16,0.0001,0.000577951023228946,1.0,0.2541929203818895,0.4989382865441101,0.4989382865441101,0.4989382865441101,0.9921286574443218,1.007235326458498,0.10903590623305824,2.5226870608031365e-05,False,
A_seed,roberta-large,sst-5,16,0.0003,7.085766752638453e-05,1.0,0.031164435594131103,0.1365420463097351,0.1365420463097351,0.1365420463097351,0.9991117026522975,1.0008767067045323,0.03737395803503954,2.5307039565026474e-05,True,empirical_min_nmse
A_seed,roberta-large,sst-5,16,0.001,0.00042414691397815247,1.0,0.18654719587262225,0.2490756156456726,0.3528576675705821,0.3528576675705821,0.9999226960077162,1.0000812239759795,0.011254657329885079,2.487341160352398e-05,True,
A_seed,roberta-large,sst-5,16,0.0015,0.0010181232058358246,0.9999999999999999,0.44778830834850947,-0.262729600825681,0.6154359960211035,0.6154359960211035,0.9999662418941376,1.000034493043348,0.007503338582151997,2.4657725146616207e-05,True,
A_seed,roberta-large,sst-5,16,0.002,0.0017287841533526647,1.0,0.760349363507515,-0.6044628975379212,0.6284695450119884,0.6284695450119884,0.9999812783654841,1.0000223246645248,0.005624558637127881,2.4483727255442082e-05,True,
A_seed,roberta-large,sst-5,16,0.003,0.005274506316827096,0.9999999999999999,2.3198196912195614,-1.3912442085730774,1.3912442085730774,1.3912442085730774,0.9999918548667477,1.0000081416411952,0.0037484433117803435,2.422450421162613e-05,True,
A_seed,roberta-large,sst-5,16,0.004,0.035255926112077556,1.0,15.506170002310098,-3.6414387581336243,3.6414387581336243,3.6414387581336243,0.9999955021234236,1.0000086834220248,0.0028104653180481467,2.4036198833979106e-05,True,
A_seed,roberta-large,sst-5,16,0.005,0.11689547793643637,1.0,51.41266599043422,-6.572747504471515,6.572747504471515,6.572747504471515,0.999997146926445,1.0000032221287183,0.0022484364798621846,2.3914130013355925e-05,True,
A_seed,roberta-large,sst-5,16,0.01,1.2940654810658285,-1.0,569.1525243086428,1.9969699027550476,23.77319152987527,23.77319152987527,0.9999993075067802,1.0000009900474778,0.0011213709945269105,2.3792052004925223e-05,True,
