model,task,precision,perturbation_mode,layer,h,A_uniform,p_active,V_norm,V_align,p_clip,jump_mean,jump_median,jump_zero_frac,jump_one_frac,jump_ge2_frac,relative_disp_layer
roberta-large,sst-5,int4,dense,roberta.encoder.layer.4.intermediate.dense.weight,1e-08,1.0,0.0,0.0,nan,0.038011695906432746,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.4.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.033625730994152045,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.5.attention.self.query.weight,1e-08,1.0,0.0,0.0,nan,0.021929824561403508,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.5.attention.self.key.weight,1e-08,633929033.5834556,0.0012563961988304093,23388.695072522634,0.034629624309768375,0.019005847953216373,0.0012563961988304093,0.0,0.9987436038011696,0.0012563961988304093,0.0,0.009030809339624723
roberta-large,sst-5,int4,dense,roberta.encoder.layer.5.attention.self.value.weight,1e-08,1.0,0.0,0.0,nan,0.024853801169590642,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.5.attention.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.024853801169590642,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.5.intermediate.dense.weight,1e-08,1.0,0.0,0.0,nan,0.03216374269005848,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.5.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.024853801169590642,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.6.attention.self.query.weight,1e-08,1.0,0.0,0.0,nan,0.01608187134502924,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.6.attention.self.key.weight,1e-08,1.0,0.0,0.0,nan,0.023391812865497075,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.6.attention.self.value.weight,1e-08,1.0,0.0,0.0,nan,0.03654970760233918,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.6.attention.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.023391812865497075,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.6.intermediate.dense.weight,1e-08,1.0,0.0,0.0,nan,0.019005847953216373,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.6.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.019005847953216373,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.7.attention.self.query.weight,1e-08,1.0,0.0,0.0,nan,0.021929824561403508,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.7.attention.self.key.weight,1e-08,1.0,0.0,0.0,nan,0.023391812865497075,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.7.attention.self.value.weight,1e-08,1.0,0.0,0.0,nan,0.017543859649122806,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.7.attention.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.021929824561403508,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.7.intermediate.dense.weight,1e-08,1.0,0.0,0.0,nan,0.024853801169590642,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.7.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.024853801169590642,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.8.attention.self.query.weight,1e-08,917444705.123672,0.0013249269005847952,28915.06448344268,0.03405102457390873,0.024853801169590642,0.0013249269005847952,0.0,0.9986750730994152,0.0013249269005847952,0.0,0.008756845135710376
roberta-large,sst-5,int4,dense,roberta.encoder.layer.8.attention.self.key.weight,1e-08,1.0,0.0,0.0,nan,0.029239766081871343,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.8.attention.self.value.weight,1e-08,1.0,0.0,0.0,nan,0.019005847953216373,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.8.attention.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.027777777777777776,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.8.intermediate.dense.weight,1e-08,1.0,0.0,0.0,nan,0.021929824561403508,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.8.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.011695906432748537,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.9.attention.self.query.weight,1e-08,1.0,0.0,0.0,nan,0.023391812865497075,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.9.attention.self.key.weight,1e-08,1.0,0.0,0.0,nan,0.03070175438596491,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.9.attention.self.value.weight,1e-08,1.0,0.0,0.0,nan,0.03654970760233918,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.9.attention.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.03654970760233918,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.9.intermediate.dense.weight,1e-08,1.0,0.0,0.0,nan,0.027777777777777776,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.9.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.021929824561403508,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.10.attention.self.query.weight,1e-08,1.0,0.0,0.0,nan,0.027777777777777776,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.10.attention.self.key.weight,1e-08,1.0,0.0,0.0,nan,0.019005847953216373,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.10.attention.self.value.weight,1e-08,1.0,0.0,0.0,nan,0.019005847953216373,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.10.attention.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.023391812865497075,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.10.intermediate.dense.weight,1e-08,1.0,0.0,0.0,nan,0.019005847953216373,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.10.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.03070175438596491,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.11.attention.self.query.weight,1e-08,1.0,0.0,0.0,nan,0.021929824561403508,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.11.attention.self.key.weight,1e-08,1030075655.3522425,0.0012335526315789473,29532.072968540488,0.036129299265452296,0.027777777777777776,0.0012335526315789473,0.0,0.998766447368421,0.0012335526315789473,0.0,0.009245229592944788
roberta-large,sst-5,int4,dense,roberta.encoder.layer.11.attention.self.value.weight,1e-08,1.0,0.0,0.0,nan,0.029239766081871343,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.11.attention.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.024853801169590642,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.11.intermediate.dense.weight,1e-08,1.0,0.0,0.0,nan,0.02046783625730994,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.11.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.019005847953216373,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.12.attention.self.query.weight,1e-08,1.0,0.0,0.0,nan,0.024853801169590642,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.12.attention.self.key.weight,1e-08,1.0,0.0,0.0,nan,0.029239766081871343,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.12.attention.self.value.weight,1e-08,1.0,0.0,0.0,nan,0.027777777777777776,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.12.attention.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.03070175438596491,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.12.intermediate.dense.weight,1e-08,1.0,0.0,0.0,nan,0.02046783625730994,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.12.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.02046783625730994,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.13.attention.self.query.weight,1e-08,1.0,0.0,0.0,nan,0.02631578947368421,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.13.attention.self.key.weight,1e-08,1.0,0.0,0.0,nan,0.03216374269005848,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.13.attention.self.value.weight,1e-08,1.0,0.0,0.0,nan,0.027777777777777776,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.13.attention.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.03070175438596491,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.13.intermediate.dense.weight,1e-08,1.0,0.0,0.0,nan,0.019005847953216373,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.13.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.021929824561403508,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.14.attention.self.query.weight,1e-08,1.0,0.0,0.0,nan,0.03216374269005848,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.14.attention.self.key.weight,1e-08,1.0,0.0,0.0,nan,0.03070175438596491,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.14.attention.self.value.weight,1e-08,1.0,0.0,0.0,nan,0.02631578947368421,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.14.attention.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.03654970760233918,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.14.intermediate.dense.weight,1e-08,1.0,0.0,0.0,nan,0.024853801169590642,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.14.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.021929824561403508,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.15.attention.self.query.weight,1e-08,1.0,0.0,0.0,nan,0.03070175438596491,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.15.attention.self.key.weight,1e-08,1.0,0.0,0.0,nan,0.01608187134502924,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.15.attention.self.value.weight,1e-08,1.0,0.0,0.0,nan,0.04239766081871345,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.15.attention.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.03216374269005848,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.15.intermediate.dense.weight,1e-08,1.0,0.0,0.0,nan,0.024853801169590642,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.15.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.02046783625730994,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.16.attention.self.query.weight,1e-08,1.0,0.0,0.0,nan,0.019005847953216373,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.16.attention.self.key.weight,1e-08,1.0,0.0,0.0,nan,0.027777777777777776,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.16.attention.self.value.weight,1e-08,1.0,0.0,0.0,nan,0.029239766081871343,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.16.attention.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.02046783625730994,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.16.intermediate.dense.weight,1e-08,1.0,0.0,0.0,nan,0.029239766081871343,0.0,0.0,1.0,0.0,0.0,0.0
