group,model,dataset,seed,data_seed,checkpoint,h,num_probe_dirs,mse,nmse,corr,bias,mae,median_abs_error,alignment_eff,norm_ratio_eff,zero_coord_frac_eff,rms_snap_error,fd_mean,fd_std,true_mean,true_std,truth_kind
C_model,OPT-1.3B,sst-2,16,16,initial_pretrained,1e-05,16,2247.5121296285524,0.9345415212128393,0.7912468950688947,4.199538156150714,40.08484079106891,30.957253369788504,0.9177094165757438,1.036326170529272,0.38776441676877255,8.291629996937348e-06,-7.596611976623535,74.84736157806809,-11.796150132774248,47.60027725255134,true_fp32_autograd
C_model,OPT-1.3B,sst-2,16,16,initial_pretrained,3e-05,16,242.14783806089068,0.10068786991473337,0.9528745756631197,-0.5479718002091507,12.640868512536112,10.590916547267746,0.987694908309711,1.0118618974827478,0.1535375794538157,9.494911232600595e-06,-12.3441219329834,51.130060775693515,-11.796150132774248,47.60027725255134,true_fp32_autograd
C_model,OPT-1.3B,sst-2,16,16,initial_pretrained,0.0001,16,44.321817483645816,0.018429524000357578,0.9911566881071037,-1.9673074039231395,5.838870463968948,5.953920565602029,0.998836738129008,1.0010990846802794,0.047528988003630576,9.654582378701619e-06,-13.763457536697388,47.92404884322801,-11.796150132774248,47.60027725255134,true_fp32_autograd
C_model,OPT-1.3B,sst-2,16,16,initial_pretrained,0.0003,16,35.33731697621367,0.014693664842640446,0.9928411398388746,-1.2811089309464567,4.382451797672093,3.923515928056837,0.9998681678412373,1.000118343860595,0.015909366674761366,9.743596720077222e-06,-13.077259063720703,48.43053909817854,-11.796150132774248,47.60027725255134,true_fp32_autograd
C_model,OPT-1.3B,sst-2,16,16,initial_pretrained,0.001,16,81.32989509127515,0.033817910424911696,0.983677286969606,0.9300147739638234,7.348509030827353,6.006604600841278,0.9999884482802421,1.0000154758931084,0.0047748975252350345,9.615645818522933e-06,-10.866135358810425,49.488096952523065,-11.796150132774248,47.60027725255134,true_fp32_autograd
C_model,OPT-1.3B,sst-2,16,16,initial_pretrained,0.0015,16,97.09178738441176,0.0403718874231383,0.9812382723267976,1.710244541127418,8.474975573029292,7.797691340003723,0.9999949443952109,1.00000508297071,0.003182817999491213,9.544474079278542e-06,-10.08590559164683,49.86066885538482,-11.796150132774248,47.60027725255134,true_fp32_autograd
C_model,OPT-1.3B,sst-2,16,16,initial_pretrained,0.002,16,187.25092381004572,0.07786109844705083,0.9653254332981958,4.4100021568526175,11.291815176281645,9.941201126816717,0.9999971876472371,1.0000070863307098,0.0023872429877078924,9.493756251264338e-06,-7.386147975921631,49.60990782109069,-11.796150132774248,47.60027725255134,true_fp32_autograd
C_model,OPT-1.3B,sst-2,16,16,initial_pretrained,0.003,16,428.39753877036844,0.17813264822400018,0.9280172242352059,10.661589378872447,15.790141189885828,12.271768972246747,0.9999987682868539,1.0000008776615363,0.0015912723864861236,9.447613176023226e-06,-1.134560753901801,43.651306325925724,-11.796150132774248,47.60027725255134,true_fp32_autograd
C_model,OPT-1.3B,sst-2,16,16,initial_pretrained,0.004,16,1678.6952376671104,0.6980208829046224,0.7152529391006683,22.394060864805116,35.85043894506434,30.340876881942933,0.9999993227694797,1.0000050442909707,0.0011939079256879806,9.452393004986676e-06,10.597910732030869,42.44631065725589,-11.796150132774248,47.60027725255134,true_fp32_autograd
C_model,OPT-1.3B,sst-2,16,16,initial_pretrained,0.005,16,2137.04334714357,0.8886073246098123,0.6643622523580822,26.191255971549882,37.85129878209989,31.08647605187172,0.9999995624904554,1.000000730959099,0.0009555115177404041,9.52378030417621e-06,14.395105838775635,45.23784677119299,-11.796150132774248,47.60027725255134,true_fp32_autograd
C_model,OPT-1.3B,sst-2,16,16,initial_pretrained,0.01,16,1887.3980944807313,0.7848019430452415,0.5448457870810626,13.960401862620248,37.55426230680598,36.14899834600994,0.9999998816787354,1.0000004687760262,0.00047752547337577436,1.0241712358265524e-05,2.1642517298460007,35.90141861194169,-11.796150132774248,47.60027725255134,true_fp32_autograd
C_model,OPT-1.3B,sst-2,17,17,initial_pretrained,1e-05,16,1478.9276066717516,0.5235132861711508,0.8490093487811282,14.8649911050462,29.732534810063505,19.366975454574224,0.9177135693816316,1.0363326572535196,0.3877593160970746,8.291523046940331e-06,34.806132316589355,65.91822586297705,19.94114121154315,49.26820275296107,true_fp32_autograd
C_model,OPT-1.3B,sst-2,17,17,initial_pretrained,3e-05,16,366.1774837103591,0.1296201226850455,0.9408214756268556,-0.63569347416726,16.531215745858265,18.16034334656232,0.9876946745110892,1.0118617186843961,0.15353975785579063,9.49507412207994e-06,19.305447737375896,55.67886574193554,19.94114121154315,49.26820275296107,true_fp32_autograd
C_model,OPT-1.3B,sst-2,17,17,initial_pretrained,0.0001,16,48.74433599479929,0.0172546021886059,0.9903941601877478,0.807980692830014,5.742064202724322,5.390704769780941,0.9988365075382666,1.0010986079425,0.047528705466889476,9.655619294739176e-06,20.74912190437317,50.091820600729406,19.94114121154315,49.26820275296107,true_fp32_autograd
C_model,OPT-1.3B,sst-2,17,17,initial_pretrained,0.0003,16,66.19530586411679,0.023431925907459055,0.9893966701807179,1.847932732548644,7.280061927392863,7.945462808395048,0.999868162896724,1.000117934939162,0.0159068565248712,9.74393806692881e-06,21.789073944091797,52.14833174964631,19.94114121154315,49.26820275296107,true_fp32_autograd
C_model,OPT-1.3B,sst-2,17,17,initial_pretrained,0.001,16,139.13963403728184,0.0492528821038337,0.9726822873818163,-0.803054624352527,9.99461130262981,9.12073132288435,0.9999884502083588,1.0000155018048584,0.004775118880516393,9.615994329132032e-06,19.138086587190628,50.69477151619971,19.94114121154315,49.26820275296107,true_fp32_autograd
C_model,OPT-1.3B,sst-2,17,17,initial_pretrained,0.0015,16,262.52854529550257,0.0929302968187033,0.9517083422438021,-3.5293921863572515,12.407993593626195,8.164043922245657,0.9999949399837174,1.0000050828378175,0.0031838172333321334,9.544845566083002e-06,16.411749025185905,51.50314019800395,19.94114121154315,49.26820275296107,true_fp32_autograd
C_model,OPT-1.3B,sst-2,17,17,initial_pretrained,0.002,16,426.11817556987114,0.1508380297882633,0.9339051701156932,-7.176623993668628,14.801584754980775,12.006784175093996,0.9999971942669375,1.0000071188023938,0.0023887278731360706,9.492975554252608e-06,12.764517217874527,54.03347961419878,19.94114121154315,49.26820275296107,true_fp32_autograd
C_model,OPT-1.3B,sst-2,17,17,initial_pretrained,0.003,16,1447.3001461321044,0.5123177443977298,0.8084910493560749,-13.899028925650988,31.85453312907308,29.328491253971443,0.9999987729549608,1.0000009340846745,0.0015922490097875744,9.448018253485122e-06,6.042112285892168,60.165666031883525,19.94114121154315,49.26820275296107,true_fp32_autograd
