precision_mode,direction_type,sparse_rate,sparse_mode,sparse_rescale,h_raw,h_active,num_probe_rows,num_probe_directions,num_probe_batches,probe_active_frac_mean,probe_alignment_mean,probe_norm_ratio_mean,delta_q_norm_mean,nominal_delta_norm_mean,fd_zero_ratio,fd_mean,fd_std,d_true_mean,d_true_std,corr_fd_true,nMSE_fd_true,sign_agreement,window_candidate
int8,sparse,0.003,bernoulli,inv_sqrt_p,0.00016431676725154983,0.0029999999999999996,50,50,1,0.009580409767125918,0.9306156101198416,1.0750645644174242,7.135640028506527,6.6374014157604275,0.0,-5.2708489163219925,14.824161118754184,-5.181205596923828,14.354079783763654,0.9619300462581334,0.07055261129423321,0.96,False
int8,sparse,0.003,bernoulli,inv_sqrt_p,0.0003286335345030997,0.006,50,50,1,0.01093977733516274,0.9775259258171274,1.0231340858153752,13.581903776131366,13.274802831520855,0.0,-5.454947928637266,14.637739495709866,-5.181205596923828,14.354079783763654,0.9906913979566745,0.01746394596815875,0.96,True
int8,sparse,0.003,bernoulli,inv_sqrt_p,0.0006572670690061994,0.012,50,50,1,0.06308613015156597,0.9902248417192625,1.0099089484886399,26.812675685533993,26.54960566304171,0.0,-5.222212420105934,13.946975560137998,-5.181205596923828,14.354079783763654,0.9881120723050699,0.021157469034634172,1.0,True
int8,sparse,0.003,bernoulli,inv_sqrt_p,0.0013145341380123988,0.024,50,50,1,0.1398693797061026,0.9945996055614438,1.005475894624544,53.38997100999231,53.09921132608342,0.0,-5.085066882371902,13.856077898125596,-5.181205596923828,14.354079783763654,0.9767959651691888,0.0407386815893959,0.94,True
int8,sparse,0.003,bernoulli,inv_sqrt_p,4.107919181288746e-05,0.0007499999999999999,50,50,1,0.008076023349638141,0.6102726576636438,1.6430458336854785,2.726399867747306,1.6593503539401069,0.0,-8.275864216685296,16.439838868399853,-5.181205596923828,14.354079783763654,0.854869959887324,0.3539201498153629,0.8,False
int8,sparse,0.003,bernoulli,inv_sqrt_p,8.215838362577491e-05,0.0014999999999999998,50,50,1,0.008708205225879565,0.8051189080426078,1.2438970059877732,4.128130817387927,3.3187007078802138,0.0,-6.855075240135193,17.72327710513341,-5.181205596923828,14.354079783763654,0.9065386889914556,0.2649669473755392,0.88,False
int8,sparse,0.01,bernoulli,inv_sqrt_p,0.00015,0.0014999999999999998,50,50,1,0.024100579298123096,0.8028896404306884,1.2598385175174234,7.632774539056254,6.058514380510701,0.0,-1.5721638423204423,10.869964484162281,-0.7277432429790497,9.292513865478742,0.7927410289820659,0.5187769559033438,0.76,True
int8,sparse,0.01,bernoulli,inv_sqrt_p,0.0003,0.0029999999999999996,50,50,1,0.0269762502374686,0.9269492935737109,1.0832206602563137,13.125437781104209,12.117028761021402,0.0,-1.0538736391067505,11.019221390501343,-0.7277432429790497,9.292513865478742,0.9242056864778558,0.21420233273585707,0.9,True
int8,sparse,0.01,bernoulli,inv_sqrt_p,0.0006,0.005999999999999999,50,50,1,0.04359217751205034,0.9751709398866611,1.0260352144630385,24.865007465967967,24.234057522042804,0.0,-1.0809580087661743,9.47212014441094,-0.7277432429790497,9.292513865478742,0.9553793855094993,0.0922188742017937,0.92,True
int8,sparse,0.01,bernoulli,inv_sqrt_p,0.0012,0.011999999999999999,50,50,1,0.14322060053899055,0.990750041160201,1.0093906741856846,48.923267807261496,48.46811504408561,0.0,-0.5499521452188492,9.123230948076984,-0.7277432429790497,9.292513865478742,0.9824555882747362,0.034933276567558486,0.96,True
int8,sparse,0.01,bernoulli,inv_sqrt_p,0.0024,0.023999999999999997,50,50,1,0.1684549678612793,0.9964977430457074,1.0035178496062538,97.27724089190738,96.93623008817121,0.0,-0.502395595908165,8.974235420320772,-0.7277432429790497,9.292513865478742,0.9238386286759943,0.14795927706109283,0.92,True
int8,sparse,0.01,bernoulli,inv_sqrt_p,7.5e-05,0.0007499999999999999,50,50,1,0.02188083432512177,0.6101409060561824,1.66517740109059,5.044271139190947,3.0292571902553505,0.0,-1.5808105516433715,15.890341202682539,-0.7277432429790497,9.292513865478742,0.623729475015669,1.7884371236211223,0.68,True
