model,task,precision,perturbation_mode,h,A_uniform,p_active,V_norm,V_align,p_clip,relative_disp,locality_proxy,jump_zero_frac,jump_one_frac,jump_ge2_frac,source_path,p_clip_base,p_clip_delta,p_active_norm,locality_rel_disp_limit,locality_relaxed_for_int4,score_geom,nMSE_loss,corr_loss,normalized_curve
facebook/opt-1.3b,sst-5,int8,dense,1e-07,4064.374065366616,0.0007510259746759,63.74847603037054,0.025391359299691,0.0081077023172013,0.0004318587984798,1655.2936198333286,0.999248974025324,0.0007510259746759,0.0,/scratch/jy03364/MeZO_/outputs/interval_h_selection_8h_probes/opt13b_sst5_int8/interval_geometry_summary.csv,0.0081077023172013,0.0,0.0007510259746759,0.15,False,4.670256472802688,,,
facebook/opt-1.3b,sst-5,int8,dense,3e-07,842.4490132569777,0.0015328624693458,29.03765287447498,0.0410542386655047,0.0081077023172013,0.0005901843173961,641.7915836190192,0.998467137530654,0.0015328624693458,0.0,/scratch/jy03364/MeZO_/outputs/interval_h_selection_8h_probes/opt13b_sst5_int8/interval_geometry_summary.csv,0.0081077023172013,0.0,0.0015328624693458,0.15,False,4.121563697109578,,,
facebook/opt-1.3b,sst-5,int8,dense,1e-06,209.7290872741157,0.0042990841299234,14.515928068432512,0.0719389106095725,0.0081133326660327,0.0009835794313431,445.11802196783714,0.9957009158700766,0.0042990841299234,0.0,/scratch/jy03364/MeZO_/outputs/interval_h_selection_8h_probes/opt13b_sst5_int8/interval_geometry_summary.csv,0.0081077023172013,5.630348831400789e-06,0.0042990841299234,0.15,False,3.6282139061955956,,,
facebook/opt-1.3b,sst-5,int8,dense,3e-06,65.08435080735927,0.012179382913768,8.128891801673605,0.123577485256948,0.0081159914418697,0.0016520767030799,393.1597596396312,0.987820617086232,0.012179382913768,0.0,/scratch/jy03364/MeZO_/outputs/interval_h_selection_8h_probes/opt13b_sst5_int8/interval_geometry_summary.csv,0.0081077023172013,8.289124668400469e-06,0.012179382913768,0.15,False,3.1635966662876456,,,
facebook/opt-1.3b,sst-5,int8,dense,1e-05,18.533255454637946,0.0400247422551423,4.42003883083148,0.2267146049479262,0.0081224037835944,0.0029927609648954,380.773269317005,0.9599752577448576,0.040024429457985,3.127971572994345e-07,/scratch/jy03364/MeZO_/outputs/interval_h_selection_8h_probes/opt13b_sst5_int8/interval_geometry_summary.csv,0.0081077023172013,1.4701466393100132e-05,0.0400247422551423,0.15,False,2.542648052515209,,,
facebook/opt-1.3b,sst-5,int8,dense,3e-05,5.491104391960674,0.1187162179070116,2.546124278989146,0.3911306091886252,0.0081344464741504,0.0051710265707833,377.0434774566471,0.8812837820929883,0.1181478654721985,0.000568352434813,/scratch/jy03364/MeZO_/outputs/interval_h_selection_8h_probes/opt13b_sst5_int8/interval_geometry_summary.csv,0.0081077023172013,2.674415694909997e-05,0.1187162179070116,0.15,False,1.864306909510229,,,
facebook/opt-1.3b,sst-5,int8,dense,0.0001,1.0320883601398532,0.3595947400030028,1.4198140872761271,0.6986054987430188,0.0081804276562734,0.0094259748293272,374.6323923864944,0.6404052599969972,0.3324918047144787,0.0271029352885241,/scratch/jy03364/MeZO_/outputs/interval_h_selection_8h_probes/opt13b_sst5_int8/interval_geometry_summary.csv,0.0081077023172013,7.272533907210117e-05,0.3595947400030028,0.15,False,0.874213990697254,,,
facebook/opt-1.3b,sst-5,int8,dense,0.0003,0.1312207495675152,0.6972606788949502,1.0592130999692306,0.9397118540242864,0.0083580964416195,0.0175345646409889,498.4625797603102,0.3027393211050498,0.4184024823582403,0.2788581965367099,/scratch/jy03364/MeZO_/outputs/interval_h_selection_8h_probes/opt13b_sst5_int8/interval_geometry_summary.csv,0.0081077023172013,0.0002503941244182007,0.6972606788949502,0.15,False,0.5237584505713132,,,
facebook/opt-1.3b,sst-5,int8,dense,0.001,0.0137913275313396,0.9024019693709024,1.0024689885320908,0.993124338759812,0.0090695535758971,0.0488612668499959,2704.950101241481,0.0975980306290976,0.1858679808317902,0.7165339885391122,/scratch/jy03364/MeZO_/outputs/interval_h_selection_8h_probes/opt13b_sst5_int8/interval_geometry_summary.csv,0.0081077023172013,0.0009618512586958006,0.9024019693709024,0.15,False,0.44925136430025575,,,
facebook/opt-1.3b,sst-5,int8,dense,0.003,0.0038295301036763,0.967221673089435,0.9960974533472308,0.9980853318810988,0.01194634903158,0.1434900537242554,22353.484831345253,0.032778326910565,0.064858334167459,0.9023633389219758,/scratch/jy03364/MeZO_/outputs/interval_h_selection_8h_probes/opt13b_sst5_int8/interval_geometry_summary.csv,0.0081077023172013,0.0038386467143786997,0.967221673089435,0.15,False,0.4890565331557542,,,
facebook/opt-1.3b,sst-5,int8,dense,0.01,0.0070591820334872,0.9901404772033432,0.9827878836834916,0.9965594223594876,0.0391093413743055,0.4719664906472333,235474.39376344124,0.0098595227966568,0.0194892960812772,0.970651181122066,/scratch/jy03364/MeZO_/outputs/interval_h_selection_8h_probes/opt13b_sst5_int8/interval_geometry_summary.csv,0.0081077023172013,0.0310016390571042,0.9901404772033432,0.15,False,0.6907491330363486,,,
facebook/opt-1.3b,sst-5,int8,dense,0.03,0.0553708787804228,0.9967362744607376,0.8816330004175758,0.9765442570453892,0.2207043566388068,1.2815382351493545,1422263.9021275595,0.0032637255392622,0.0065679583103948,0.9901683161503428,/scratch/jy03364/MeZO_/outputs/interval_h_selection_8h_probes/opt13b_sst5_int8/interval_geometry_summary.csv,0.0081077023172013,0.21259665432160552,0.9967362744607376,0.15,False,1.9184995537089133,,,
