model,task,precision,perturbation_mode,h,A_uniform,p_active,V_norm,V_align,p_clip,jump_mean,jump_median,jump_zero_frac,jump_one_frac,jump_ge2_frac,disp_rms,relative_disp,locality_proxy
roberta-large,sst-5,int8,dense,1e-07,12933.809939390707,0.000532835686482484,113.7258761736907,0.019597740947097018,0.007879964377557861,0.000532835686482484,0.0,0.9994671643135176,0.000532835686482484,0.0,1.6087697181130363e-05,0.0003750037074606069,66980.60028256869
roberta-large,sst-5,int8,dense,1e-06,456.2716870801528,0.002146977595885408,21.38510822459268,0.05149636327079309,0.007883091347548957,0.002146977595885408,0.0,0.9978530224041146,0.002146977595885408,0.0,3.0246944257810636e-05,0.0007050553045800389,8369.858554457714
roberta-large,sst-5,int8,dense,1e-05,36.67915961144614,0.018394088275613635,6.1357754229591315,0.16051095666507578,0.007886843711538269,0.018394088275613635,0.0,0.9816059117243864,0.018394088275613635,0.0,8.670873281270547e-05,0.002021177792438474,5646.267758237656
roberta-large,sst-5,int8,dense,0.0001,2.7953943028416917,0.18358690975314448,1.9445453358009799,0.5106248456629241,0.007927494321422496,0.1839058606922361,0.0,0.8164130902468555,0.18329047299798873,0.0002964367551557481,0.0002747539598679208,0.006404506029042106,5691.656892431964
roberta-large,sst-5,int8,dense,0.001,0.0447104134335378,0.8127107577773998,1.0180452717729045,0.9782006113286481,0.008335876602259424,1.8447853397640515,1.0,0.18728924222260024,0.322934698860282,0.4897760589171178,0.001078276364472153,0.025134587616335947,13501.375767475263
roberta-large,sst-5,int8,dense,0.003,0.006924358662838964,0.9361579044798223,0.9988029390191786,0.9965343736874875,0.00943094149314068,5.5343335051082185,4.0,0.06384209552017771,0.1250631647938201,0.8110947396860022,0.0030186613572410715,0.07036489982302933,92144.56668779143
roberta-large,sst-5,int8,dense,0.01,0.0033832340448946806,0.9807278585508871,0.9943596781908768,0.9983147633491746,0.014993821107297597,18.418965823468785,14.0,0.01927214144911294,0.03812151655542992,0.9426063419954571,0.009967575127441486,0.23234385786220124,985857.833032246
roberta-large,sst-5,int8,dense,0.03,0.008974264905551733,0.9935528132723616,0.9727121155555714,0.9957698702713218,0.06255440927784504,54.115792324164225,43.0,0.006447186727638412,0.012850595875401502,0.9807022173969601,0.029314201484135237,0.6833131003169186,8194582.946409833
roberta-large,sst-5,int8,dense,0.1,0.13525584016457803,0.997999989993696,0.7414879369930717,0.9538587125820648,0.4147800614387064,140.60366718532674,138.0,0.0020000100063039716,0.003918718792839489,0.9940812712008565,0.07598831648904494,1.7712852303377098,33299936.25121359
roberta-large,sst-5,int8,sparse_p0p1,1e-07,11143.19208538403,5.128230785394799e-05,103.5330008492399,0.018026529810339614,0.007879964377557861,5.128230785394799e-05,0.0,0.9999487176921461,5.128230785394799e-05,0.0,4.732597483387321e-06,0.00011031669618139128,579.3907810996444
roberta-large,sst-5,int8,sparse_p0p1,1e-06,415.3109936078934,0.00019262135145141438,20.366860699047304,0.048321859138160575,0.007879964377557861,0.00019262135145141438,0.0,0.9998073786485486,0.00019262135145141438,0.0,9.1230850689597e-06,0.00021265882157150428,70.17051093524103
roberta-large,sst-5,int8,sparse_p0p1,1e-05,36.972258392479795,0.0018305282327866555,6.15816019921092,0.16101698264192643,0.0078812151655543,0.0018305282327866555,0.0,0.9981694717672134,0.0018305282327866555,0.0,2.7589438645585142e-05,0.0006431089336382216,58.11658911556718
roberta-large,sst-5,int8,sparse_p0p1,0.0001,2.7930114944833733,0.01823023504808029,1.9404956479286724,0.508305095256057,0.007884967529543612,0.018266507899976987,0.0,0.9817697649519197,0.018195212984180035,3.502206390025716e-05,8.662826352346615e-05,0.002019302055876447,56.27644658723645
