model,task,precision,quantizer,mode,raw_h_policy,h_value,hstar_cont,seed,run_type,steps,best_dev_acc,final_dev_acc,best_eval_step,source_path,run_name,policy,canonical_policy,metric,source_log
roberta-large,trec,int4,G128_RTNClip,prefix,fixed_small,1e-05,0.0949896412434653,16,full,20000.0,0.2234432234432234,0.2234432234432234,12000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_trec_fixed_small_h1e-5_seed16_full_bs64_step20k,fixed-small,fixed-small,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,trec,int4,G128_RTNClip,prefix,hstar_cleanGL,0.0949896412434653,0.0949896412434653,16,full,20000.0,0.7234432234432234,0.7234432234432234,20000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_trec_hstar_cleanGL_h0p0949896412435_seed16_full_bs64_step20k,frozen reference,precomputed analytical radius,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,mnli,int4,G128_RTNClip,sparse_p0p1,mezo_default,0.001,0.0008531355897454,16,full,20000.0,0.4708174178762414,0.4478482302011713,17000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_mnli_mezo_default_h1e-3_seed16_full_bs64_step20k,MeZO default,MeZO default,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,mnli,int4,G128_RTNClip,sparse_p0p1,fixed_small,1e-05,0.0008531355897454,16,full,20000.0,0.33475935828877,0.3333333333333333,2000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_mnli_fixed_small_h1e-5_seed16_full_bs64_step20k,fixed-small,fixed-small,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,mnli,int4,G128_RTNClip,sparse_p0p1,hstar_lowbitL,0.000437324731266,0.000437324731266,16,full,20000.0,0.5047873694932519,0.4872676343264578,17000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_mnli_hstar_lowbitL_h0p000437324731266_seed16_full_bs64_step20k,frozen reference,precomputed analytical radius,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,rte,int4,G128_RTNClip,sparse_p0p1,mezo_default,0.001,0.0004352528589334,16,full,20000.0,0.6265060240963856,0.6265060240963856,20000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_rte_mezo_default_h1e-3_seed16_full_bs64_step20k,MeZO default,MeZO default,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,rte,int4,G128_RTNClip,sparse_p0p1,fixed_small,1e-05,0.0004352528589334,16,full,20000.0,0.5100401606425703,0.4979919678714859,8000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_rte_fixed_small_h1e-5_seed16_full_bs64_step20k,fixed-small,fixed-small,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,rte,int4,G128_RTNClip,sparse_p0p1,hstar_lowbitL,0.0003591546781873,0.0003591546781873,16,full,20000.0,0.6385542168674698,0.6224899598393574,18000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_rte_hstar_lowbitL_h0p000359154678187_seed16_full_bs64_step20k,frozen reference,precomputed analytical radius,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-2,int4,G128_RTNClip,sparse_p0p1,mezo_default,0.001,0.000458314754972,16,full,20000.0,0.9042316258351892,0.9042316258351892,20000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_sst2_mezo_default_h1e-3_seed16_full_bs64_step20k,MeZO default,MeZO default,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-2,int4,G128_RTNClip,sparse_p0p1,fixed_small,1e-05,0.000458314754972,16,full,20000.0,0.5648106904231626,0.5578322197475872,4000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_sst2_fixed_small_h1e-5_seed16_full_bs64_step20k,fixed-small,fixed-small,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-2,int4,G128_RTNClip,sparse_p0p1,hstar_lowbitL,0.0010440057466626,0.0010440057466626,16,full,20000.0,0.9037861915367484,0.8974016332590943,18000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_sst2_hstar_lowbitL_h0p00104400574666_seed16_full_bs64_step20k,frozen reference,precomputed analytical radius,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-5,int4,G128_RTNClip,sparse_p0p1,mezo_default,0.001,0.0013388576857165,16,full,20000.0,0.4812646370023419,0.4812646370023419,20000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_sst5_mezo_default_h1e-3_seed16_full_bs64_step20k,MeZO default,MeZO default,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-5,int4,G128_RTNClip,sparse_p0p1,fixed_small,1e-05,0.0013388576857165,16,full,20000.0,0.2728337236533958,0.2728337236533958,20000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_sst5_fixed_small_h1e-5_seed16_full_bs64_step20k,fixed-small,fixed-small,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-5,int4,G128_RTNClip,sparse_p0p1,hstar_lowbitL,0.0013665044203238,0.0013665044203238,16,full,20000.0,0.4754098360655737,0.4672131147540984,19000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_sst5_hstar_lowbitL_h0p00136650442032_seed16_full_bs64_step20k,frozen reference,precomputed analytical radius,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
