label,h_str,h,status,eval_loss,probe_mse,corr,sign_acc,fd_mean,td_mean,probe_global_step,metrics_path,probe_path
RoBERTa-large / MNLI,3e-7,3e-07,missing_from_summary,1.2958984375,32303.37956320531,-0.4232310676192384,0.1875,-15.894571423530579,-3.3063649013638496,14600,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-7/run_sparse_mezo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-7/run_sparse_mezo16/seed16/zo_directional_probe.csv
RoBERTa-large / MNLI,1e-6,1e-06,completed,1.1005859375,7623.449048264153,-0.13706828802315074,0.5,-9.059906005859375,7.755002699792385,50000,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-6/run_sparse_mezo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-6/run_sparse_mezo16/seed16/zo_directional_probe.csv
RoBERTa-large / MNLI,3e-6,3e-06,completed,0.892578125,2188.6056545481224,0.2187200205172587,0.5625,14.940896302461624,-12.301325723528862,50000,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-6/run_sparse_mezo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-6/run_sparse_mezo16/seed16/zo_directional_probe.csv
OPT-1.3B / SST-5,1e-8,1e-08,completed,,,,,,,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-8/seed_42/metrics_SST5-opt-1.3b-eps1e-08-qbits16-hsweep14h-sparse_mezo16-sst5-h1e-8-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-8/seed_42/zo_directional_probe.csv
OPT-1.3B / SST-5,3e-8,3e-08,completed,,,,,,,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-8/seed_42/metrics_SST5-opt-1.3b-eps3e-08-qbits16-hsweep14h-sparse_mezo16-sst5-h3e-8-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-8/seed_42/zo_directional_probe.csv
OPT-1.3B / SST-5,1e-7,1e-07,completed,,357905291.91220164,-0.18071323305065481,0.3125,-1220.703125,0.78415946662426,200,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-7/seed_42/metrics_SST5-opt-1.3b-eps1e-07-qbits16-hsweep14h-sparse_mezo16-sst5-h1e-7-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-7/seed_42/zo_directional_probe.csv
OPT-1.3B / SST-5,3e-7,3e-07,completed,5.890625,572637330.5029471,-0.034871330207758296,0.4375,1627.6041259765625,12.36325167119503,1700,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-7/seed_42/metrics_SST5-opt-1.3b-eps3e-07-qbits16-hsweep14h-sparse_mezo16-sst5-h3e-7-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-7/seed_42/zo_directional_probe.csv
OPT-1.3B / SST-5,1e-6,1e-06,completed,2.73046875,1487641.7743976687,0.06204684321494641,0.4375,-61.03515625,5.54779265075922,2400,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-6/seed_42/metrics_SST5-opt-1.3b-eps1e-06-qbits16-hsweep14h-sparse_mezo16-sst5-h1e-6-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-6/seed_42/zo_directional_probe.csv
OPT-1.3B / SST-5,3e-6,3e-06,completed,1.76171875,63191.5140381075,0.04560963773158388,0.625,-71.20767784118652,11.76151219010353,2400,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-6/seed_42/metrics_SST5-opt-1.3b-eps3e-06-qbits16-hsweep14h-sparse_mezo16-sst5-h3e-6-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-6/seed_42/zo_directional_probe.csv
OPT-1.3B / SST-5,1e-5,1e-05,completed,1.8447265625,18984.947359662146,0.07499439331225438,0.3125,15.2587890625,4.175911843776703,2400,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-5/seed_42/metrics_SST5-opt-1.3b-eps1e-05-qbits16-hsweep14h-sparse_mezo16-sst5-h1e-5-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-5/seed_42/zo_directional_probe.csv
OPT-1.3B / SST-5,3e-5,3e-05,completed,1.7607421875,1393.7339301795691,0.818403128126321,0.5,4.0690107345581055,-2.510120503604412,2400,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-5/seed_42/metrics_SST5-opt-1.3b-eps3e-05-qbits16-hsweep14h-sparse_mezo16-sst5-h3e-5-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-5/seed_42/zo_directional_probe.csv
OPT-1.3B / SST-5,1e-4,0.0001,completed,1.5419921875,271.35304002742714,0.9716138911648581,0.9375,-41.80908203125,-46.800941944122314,2400,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-4/seed_42/metrics_SST5-opt-1.3b-eps0.0001-qbits16-hsweep14h-sparse_mezo16-sst5-h1e-4-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-4/seed_42/zo_directional_probe.csv
OPT-1.3B / SST-5,3e-4,0.0003,completed,1.611328125,135.19658091035186,0.9780092110804349,0.8125,-10.274251326918602,-10.521347105503082,2400,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-4/seed_42/metrics_SST5-opt-1.3b-eps0.0003-qbits16-hsweep14h-sparse_mezo16-sst5-h3e-4-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-4/seed_42/zo_directional_probe.csv
OPT-1.3B / SST-5,1e-3,0.001,completed,1.638671875,2186.3061091902932,0.9013351452398732,0.875,-30.303952602669597,-36.91457615792751,2400,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-3/seed_42/metrics_SST5-opt-1.3b-eps0.001-qbits16-hsweep14h-sparse_mezo16-sst5-h1e-3-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-3/seed_42/zo_directional_probe.csv
OPT-1.3B / SST-5,3e-3,0.003,completed,1.736328125,6627.735151058961,0.6308731094063547,0.8125,-10.945638157427311,-25.720449276268482,2400,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-3/seed_42/metrics_SST5-opt-1.3b-eps0.003-qbits16-hsweep14h-sparse_mezo16-sst5-h3e-3-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-3/seed_42/zo_directional_probe.csv
OPT-1.3B / SST-5,1e-2,0.01,completed,1.8037109375,6781.877110506704,0.42890648752011123,0.75,-1.5594482421875,-21.157537400722504,2400,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-2/seed_42/metrics_SST5-opt-1.3b-eps0.01-qbits16-hsweep14h-sparse_mezo16-sst5-h1e-2-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-2/seed_42/zo_directional_probe.csv
OPT-1.3B / SST-5,3e-2,0.03,completed,1.8369140625,4916.803974018807,0.2413719804298822,0.75,3.1117758005857468,-26.221261352300644,2400,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-2/seed_42/metrics_SST5-opt-1.3b-eps0.03-qbits16-hsweep14h-sparse_mezo16-sst5-h3e-2-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-2/seed_42/zo_directional_probe.csv
OPT-1.3B / MNLI,1e-8,1e-08,residual_only,,,,,,,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/mnli/fp16/h_sweep_14h/results/h_1e-8/seed_42/metrics_MNLI-opt-1.3b-ndev0-eps1e-08-qbits16-hsweep14h-sparse_mezo16-mnli-h1e-8-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/opt-1.3b/mnli/fp16/h_sweep_14h/results/h_1e-8/seed_42/zo_directional_probe.csv
