model,task,precision,mode,quantizer,h,true_directional_nmse,corr_dq_dstar,sign_agreement,active_frac,norm_ratio,visible_direction_cos,num_sources
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,0.0025,1.6818224797474586,0.4687207492925854,,0.0309515748095451,1.3856532585087071,0.684917132061623,1
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,0.003,1.2443350356174336,0.4453488061893811,,0.0367004829758382,1.291159024864144,0.7427793299986356,1
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,0.0035,0.8216227085942454,0.6273160737619036,,0.0418895306730533,1.2256869859618924,0.7884241493316733,1
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,0.004,0.5941229590754579,0.7629058625298509,,0.0464980760767015,1.178972873347092,0.8240836269045234,1
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,0.005,0.6261706620516037,0.706383051557911,,0.0541332228657496,1.1187758470799176,0.8737648030030349,2
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,0.006,0.6862119518459414,0.6146901322444229,,0.0600672047785874,1.0825946370820594,0.905268725795059,1
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,0.007,0.39193280801024083,0.7448587851066409,,0.0647590288550723,1.0587786955930882,0.9263940074118576,2
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,0.008,0.6313138444525725,0.5942123423669329,,0.0685042664366627,1.0425883336204833,0.9407851944509872,1
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,0.009,0.9319015556590424,0.3927388600886485,,0.0715673246861234,1.0308075574454725,0.9511694595285964,1
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,0.01,0.8107437501673211,0.44961306672083867,,0.0741130044842147,1.0218407399145248,0.9588908515316862,2
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,0.0001,206.1233579204789,0.3298454278047744,,0.001112447798187,6.4865601627675895,0.1275247795493347,1
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,0.0002,119.40711945785118,0.4292322602433408,,0.0022464754361542,4.608229756406664,0.1815867151675176,1
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,0.0003,68.65140528044752,0.4313120677867307,,0.0034008180094316,3.778732569977375,0.2238504206931588,1
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,0.0005,40.72581083686445,0.3375483429805651,,0.005759405535736,2.9494251918451417,0.2922917656214971,1
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,0.0007,28.14052637747406,0.3884134709181459,,0.0081778643866485,2.509742004168505,0.3491872839714559,1
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,0.00085,18.88688084296985,0.2538650947873354,,0.0100248627414824,2.288061003341218,0.3871963985330949,1
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,0.001,13.260281424658997,0.2802667791810325,,0.0118969343645893,2.118622794270528,0.4223155693601443,1
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,0.0012,8.306094107566544,0.3325427027986438,,0.0144227826557919,1.944043362567322,0.465587099169496,1
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,0.0015,5.644009180712009,0.2369179979649646,,0.018256839059332,1.751067354244657,0.5245685328298646,1
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,0.0018,5.74894583078826,0.0851103977764068,,0.0221017979691036,1.609400944074661,0.577652081317538,1
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,0.002,3.735541043353197,0.0943298644225592,,0.024645805971366,1.5343091535244282,0.610127313126983,1
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,0.0025,2.74358439585629,0.2784391709530108,,0.0308053278960319,1.3930724816534237,0.6813743159268861,1
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,0.003,1.4508579669794035,0.4444526171931828,,0.0365226103199757,1.2975598647572857,0.7391662369980272,1
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,0.0035,1.809215873587736,0.4459790312003124,,0.0416854001784247,1.2310993435758086,0.7849370446587047,1
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,0.004,1.6275640812235408,0.4405924083348448,,0.0462772060772068,1.1835380307186298,0.8208518937230337,1
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,0.005,1.9225225049580554,0.2388763766307035,,0.0535974923910828,1.1250646567293023,0.8685117822759689,2
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,0.006,3.492506914619856,-0.1389784965700142,,0.0592474062595961,1.089607931286981,0.8989892746098911,1
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,0.007,2.661653621511283,0.0498247977185208,,0.06425410952556225,1.0625498261037372,0.9230339360883477,2
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,0.008,5.138429216994606,0.0068690512205877,,0.0677655009451445,1.0470125501484808,0.9366925478498956,1
