h,G_clean32_abs,G_clean32_rms,d2_clean32_mean,d2_clean32_abs_mean
1e-05,31.435167132756852,25.08163452148437,-25.08163452148437,25.08163452148437
3e-05,31.442637467151524,25.087594985961914,-25.087594985961914,25.087594985961914
0.0001,31.388104026070458,25.04408359527588,-25.04408359527588,25.04408359527588
0.0003,31.013840272897667,24.745464324951175,-24.745464324951175,24.745464324951175
0.001,27.076600530188657,21.60400152206421,-21.60400152206421,21.60400152206421
0.0015,22.519223428263732,17.967740694681805,-17.967740694681805,17.967740694681805
0.002,17.41282655056011,13.893425464630127,-13.893425464630127,13.893425464630127
0.003,8.098440110570117,6.461620330810547,-6.461620330810547,6.461620330810547
0.004,1.2815545412410339,1.02253258228302,-1.02253258228302,1.02253258228302
0.005,5.9443243658616485,4.742884635925293,4.742884635925293,4.742884635925293
0.01,18.011237687244872,14.370888471603394,14.370888471603394,14.370888471603394
