step,loss_plus,loss_minus,train_loss,d_h,d_g,update_scalar,update_scalar_source,fd_true_error,d_h_finite,update_norm,seconds,scale_refreshed,eval_loss,eval_acc,nan_flag
1,0.71337890625,0.75244140625,0.73291015625,-19.53125,,-19.53125,finite_difference,,True,0.11652502498630671,1.0081777572631836,True,,,False
2,0.7509765625,0.69970703125,0.725341796875,25.634765625,,25.634765625,finite_difference,,True,0.1529072043094237,0.4559314250946045,True,,,False
3,0.68115234375,0.68896484375,0.68505859375,-3.90625,,-3.90625,finite_difference,,True,0.023296082538099325,0.4454610347747803,True,,,False
4,0.6953125,0.69580078125,0.695556640625,-0.244140625,,-0.244140625,finite_difference,,True,0.0014560084415742027,0.44983959197998047,True,,,False
5,0.71142578125,0.73046875,0.720947265625,-9.521484375,,-9.521484375,finite_difference,,True,0.05679315728772288,0.43169164657592773,True,,,False
6,0.66845703125,0.70068359375,0.6845703125,-16.11328125,,-16.11328125,finite_difference,,True,0.09610517244172029,0.4510018825531006,True,,,False
7,0.72607421875,0.71435546875,0.72021484375,5.859375,,5.859375,finite_difference,,True,0.034949034911995934,0.4322819709777832,True,,,False
8,0.6962890625,0.71533203125,0.705810546875,-9.521484375,,-9.521484375,finite_difference,,True,0.05679611432813556,0.438401460647583,True,,,False
9,0.7275390625,0.71240234375,0.719970703125,7.568359375,,7.568359375,finite_difference,,True,0.04514348393731098,0.45565176010131836,True,,,False
10,0.71484375,0.7060546875,0.71044921875,4.39453125,,4.39453125,finite_difference,,True,0.02621066661661509,0.44447755813598633,True,,,False
11,0.75048828125,0.71533203125,0.73291015625,17.578125,,17.578125,finite_difference,,True,0.10484827099988633,0.4382760524749756,True,,,False
12,0.74658203125,0.6923828125,0.719482421875,27.099609375,,27.099609375,finite_difference,,True,0.16166436768215825,0.44500064849853516,True,,,False
13,0.69287109375,0.6845703125,0.688720703125,4.150390625,,4.150390625,finite_difference,,True,0.024755625986785507,0.44324302673339844,True,,,False
14,0.7685546875,0.7255859375,0.7470703125,21.484375,,21.484375,finite_difference,,True,0.12818619034497614,0.4393641948699951,True,,,False
15,0.7353515625,0.72705078125,0.731201171875,4.150390625,,4.150390625,finite_difference,,True,0.02475709333287691,0.44932079315185547,True,,,False
16,0.7099609375,0.7451171875,0.7275390625,-17.578125,,-17.578125,finite_difference,,True,0.10484313710377932,0.45467281341552734,True,,,False
17,0.7041015625,0.69189453125,0.697998046875,6.103515625,,6.103515625,finite_difference,,True,0.03641426866839146,0.43738865852355957,True,,,False
18,0.7041015625,0.833984375,0.76904296875,-64.94140625,,-64.94140625,finite_difference,,True,0.38735729148854553,0.43291521072387695,True,,,False
19,0.68359375,0.75048828125,0.717041015625,-33.447265625,,-33.447265625,finite_difference,,True,0.19953083901744315,0.439882755279541,True,,,False
20,0.7060546875,0.7255859375,0.7158203125,-9.765625,,-9.765625,finite_difference,,True,0.058233812659378686,0.43541812896728516,True,,,False
21,0.72412109375,0.71240234375,0.71826171875,5.859375,,5.859375,finite_difference,,True,0.034946568024120925,0.4561028480529785,True,,,False
22,0.6953125,0.82421875,0.759765625,-64.453125,,-64.453125,finite_difference,,True,0.38446298827265957,0.441021203994751,True,,,False
23,0.6943359375,0.7021484375,0.6982421875,-3.90625,,-3.90625,finite_difference,,True,0.02329808147424695,0.42342519760131836,True,,,False
24,0.6962890625,0.69384765625,0.695068359375,1.220703125,,1.220703125,finite_difference,,True,0.00728244176440026,0.4488654136657715,True,,,False
25,0.7099609375,0.6748046875,0.6923828125,17.578125,,17.578125,finite_difference,,True,0.10484954681819665,0.4564967155456543,True,,,False
26,0.6767578125,0.66748046875,0.672119140625,4.638671875,,4.638671875,finite_difference,,True,0.027672048646397603,0.4381117820739746,True,,,False
27,0.75146484375,0.7080078125,0.729736328125,21.728515625,,21.728515625,finite_difference,,True,0.12959362551637232,0.44693541526794434,True,,,False
28,0.6806640625,0.67236328125,0.676513671875,4.150390625,,4.150390625,finite_difference,,True,0.02475753818032266,0.43295884132385254,True,,,False
29,0.669921875,0.85302734375,0.761474609375,-91.552734375,,-91.552734375,finite_difference,,True,0.5461061855917329,0.4680306911468506,True,,,False
30,0.7333984375,0.787109375,0.76025390625,-26.85546875,,-26.85546875,finite_difference,,True,0.16017315679635438,0.446380615234375,True,,,False
31,0.7177734375,0.85302734375,0.785400390625,-67.626953125,,-67.626953125,finite_difference,,True,0.40337861567633315,0.4335167407989502,True,,,False
32,0.8125,0.69287109375,0.752685546875,59.814453125,,59.814453125,finite_difference,,True,0.35670511158780543,0.4463939666748047,True,,,False
33,0.70751953125,0.693359375,0.700439453125,7.080078125,,7.080078125,finite_difference,,True,0.04223575478623657,0.4313313961029053,True,,,False
34,0.6962890625,0.70751953125,0.701904296875,-5.615234375,,-5.615234375,finite_difference,,True,0.0334947303387204,0.4470512866973877,True,,,False
35,0.728515625,0.693359375,0.7109375,17.578125,,17.578125,finite_difference,,True,0.10483891913996586,0.4410223960876465,True,,,False
36,1.0751953125,1.0419921875,1.05859375,16.6015625,,16.6015625,finite_difference,,True,0.0990201585836113,0.36621713638305664,True,,,False
37,0.76220703125,0.69091796875,0.7265625,35.64453125,,35.64453125,finite_difference,,True,0.2126337429384341,0.4262053966522217,True,,,False
38,0.681640625,0.701171875,0.69140625,-9.765625,,-9.765625,finite_difference,,True,0.05823985605066621,0.44321370124816895,True,,,False
39,0.7265625,0.69677734375,0.711669921875,14.892578125,,14.892578125,finite_difference,,True,0.08880692141890811,0.43868184089660645,True,,,False
40,0.6923828125,0.70654296875,0.699462890625,-7.080078125,,-7.080078125,finite_difference,,True,0.04223194757464544,0.45449304580688477,True,,,False
41,0.6787109375,0.7578125,0.71826171875,-39.55078125,,-39.55078125,finite_difference,,True,0.2358408999143156,0.4324500560760498,True,,,False
42,0.72265625,0.7099609375,0.71630859375,6.34765625,,6.34765625,finite_difference,,True,0.03786672473848109,0.44121479988098145,True,,,False
43,0.6953125,0.7861328125,0.74072265625,-45.41015625,,-45.41015625,finite_difference,,True,0.270861691348065,0.4451577663421631,True,,,False
44,0.70361328125,0.73486328125,0.71923828125,-15.625,,-15.625,finite_difference,,True,0.0931983851271797,0.4388742446899414,True,,,False
45,0.70654296875,0.7177734375,0.712158203125,-5.615234375,,-5.615234375,finite_difference,,True,0.03348870867773983,0.43668437004089355,True,,,False
46,0.6953125,0.69775390625,0.696533203125,-1.220703125,,-1.220703125,finite_difference,,True,0.007280418862329411,0.43312573432922363,True,,,False
47,0.68701171875,0.73828125,0.712646484375,-25.634765625,,-25.634765625,finite_difference,,True,0.15291616986787637,0.44176554679870605,True,,,False
48,0.76220703125,0.736328125,0.749267578125,12.939453125,,12.939453125,finite_difference,,True,0.07716632591048539,0.4560716152191162,True,,,False
49,0.6826171875,0.70361328125,0.693115234375,-10.498046875,,-10.498046875,finite_difference,,True,0.06261325732702853,0.438007116317749,True,,,False
50,0.71728515625,0.8046875,0.760986328125,-43.701171875,,-43.701171875,finite_difference,,True,0.2607066747154476,0.4393293857574463,True,,,False
51,0.7578125,0.72412109375,0.740966796875,16.845703125,,16.845703125,finite_difference,,True,0.10047804576466327,0.42233967781066895,True,,,False
52,0.6884765625,0.68701171875,0.687744140625,0.732421875,,0.732421875,finite_difference,,True,0.004368500806239371,0.44818687438964844,True,,,False
53,0.72412109375,0.7333984375,0.728759765625,-4.638671875,,-4.638671875,finite_difference,,True,0.02766703535809644,0.45264101028442383,True,,,False
54,0.68603515625,0.67626953125,0.68115234375,4.8828125,,4.8828125,finite_difference,,True,0.029118952098134733,0.4410881996154785,True,,,False
55,0.6845703125,0.70166015625,0.693115234375,-8.544921875,,-8.544921875,finite_difference,,True,0.05097724633430974,0.4433143138885498,True,,,False
56,0.6806640625,0.712890625,0.69677734375,-16.11328125,,-16.11328125,finite_difference,,True,0.09609946478572899,0.43177199363708496,True,,,False
57,0.81201171875,0.69091796875,0.75146484375,60.546875,,60.546875,finite_difference,,True,0.36114188116882584,0.4463503360748291,True,,,False
