step,loss_plus,loss_minus,train_loss,d_h,d_g,update_scalar,update_scalar_source,fd_true_error,d_h_finite,update_norm,seconds,scale_refreshed,eval_loss,eval_acc,nan_flag
1,0.77392578125,0.68408203125,0.72900390625,44.921875,,44.921875,finite_difference,,True,0.26786468144054143,1.6778442859649658,True,,,False
2,0.65283203125,0.6494140625,0.651123046875,1.708984375,,1.708984375,finite_difference,,True,0.010191475430584155,0.43730926513671875,True,,,False
3,0.82275390625,0.705078125,0.763916015625,58.837890625,,58.837890625,finite_difference,,True,0.3508387589970047,0.4389016628265381,True,,,False
4,0.796875,0.75390625,0.775390625,21.484375,,21.484375,finite_difference,,True,0.1281361519381645,0.4701213836669922,True,,,False
5,0.80029296875,0.82373046875,0.81201171875,-11.71875,,-11.71875,finite_difference,,True,0.0698967285161955,0.4369041919708252,True,,,False
6,0.70654296875,0.8017578125,0.754150390625,-47.607421875,,-47.607421875,finite_difference,,True,0.28391286105617947,0.43157339096069336,True,,,False
7,0.72021484375,0.7041015625,0.712158203125,8.056640625,,8.056640625,finite_difference,,True,0.048055187295686946,0.4244844913482666,True,,,False
8,0.64892578125,0.685546875,0.667236328125,-18.310546875,,-18.310546875,finite_difference,,True,0.1091929806024291,0.42679834365844727,True,,,False
9,0.78466796875,0.68359375,0.734130859375,50.537109375,,50.537109375,finite_difference,,True,0.3014092767758188,0.438995361328125,True,,,False
10,0.75244140625,0.74560546875,0.7490234375,3.41796875,,3.41796875,finite_difference,,True,0.02038158197256227,0.43515968322753906,True,,,False
11,0.69921875,0.72314453125,0.711181640625,-11.962890625,,-11.962890625,finite_difference,,True,0.07133829351496157,0.4218463897705078,True,,,False
12,0.69482421875,0.748046875,0.721435546875,-26.611328125,,-26.611328125,finite_difference,,True,0.15873377731447477,0.43169474601745605,True,,,False
13,0.71484375,0.869140625,0.7919921875,-77.1484375,,-77.1484375,finite_difference,,True,0.4601217138964509,0.4276444911956787,True,,,False
14,0.7392578125,0.73876953125,0.739013671875,0.244140625,,0.244140625,finite_difference,,True,0.001455858448350079,0.4419844150543213,True,,,False
15,0.66015625,1.037109375,0.8486328125,-188.4765625,,-188.4765625,finite_difference,,True,1.1241039044941539,0.4283139705657959,True,,,False
16,0.7060546875,0.70166015625,0.703857421875,2.197265625,,2.197265625,finite_difference,,True,0.013104648697933286,0.43779444694519043,True,,,False
17,0.8203125,0.74169921875,0.781005859375,39.306640625,,39.306640625,finite_difference,,True,0.23441866843899742,0.4327235221862793,True,,,False
18,0.724609375,0.7607421875,0.74267578125,-18.06640625,,-18.06640625,finite_difference,,True,0.10774556454582429,0.4239840507507324,True,,,False
19,0.73681640625,0.75,0.743408203125,-6.591796875,,-6.591796875,finite_difference,,True,0.0393179991173408,0.4346170425415039,True,,,False
20,0.73681640625,0.77490234375,0.755859375,-19.04296875,,-19.04296875,finite_difference,,True,0.11354823847411008,0.4408235549926758,True,,,False
21,0.7421875,0.75634765625,0.749267578125,-7.080078125,,-7.080078125,finite_difference,,True,0.04222047062567783,0.4382660388946533,True,,,False
