step,loss_plus,loss_minus,train_loss,d_h,d_g,update_scalar,update_scalar_source,fd_true_error,d_h_finite,update_norm,seconds,scale_refreshed,eval_loss,eval_acc,nan_flag
1,1.9931640625,1.9794921875,1.986328125,683.59375,,683.59375,finite_difference,,True,4.0774177514683725,0.96533203125,True,,,False
2,1.94140625,1.9443359375,1.94287109375,-146.484375,,-146.484375,finite_difference,,True,0.8735350197932472,0.3732898235321045,True,,,False
3,1.9677734375,1.9453125,1.95654296875,1123.046875,,1123.046875,finite_difference,,True,6.695114184568976,0.37659645080566406,True,,,False
4,2.232421875,2.22265625,2.2275390625,488.28124999999994,,488.28124999999994,finite_difference,,True,2.911405967419244,0.37540245056152344,True,,,False
5,2.083984375,2.08984375,2.0869140625,-292.96875,,-292.96875,finite_difference,,True,1.747214162748458,0.37554287910461426,True,,,False
6,2.16796875,2.17578125,2.171875,-390.62499999999994,,-390.62499999999994,finite_difference,,True,2.3293011224771942,0.37305784225463867,True,,,False
7,2.083984375,2.08203125,2.0830078125,97.65624999999999,,97.65624999999999,finite_difference,,True,0.5823702077230433,0.37300634384155273,True,,,False
8,2.20703125,2.205078125,2.2060546875,97.65624999999999,,97.65624999999999,finite_difference,,True,0.5824493397271759,0.3747525215148926,True,,,False
9,1.96875,1.9677734375,1.96826171875,48.82812499999999,,48.82812499999999,finite_difference,,True,0.2912276575030583,0.37483859062194824,True,,,False
10,2.08203125,2.076171875,2.0791015625,292.96875,,292.96875,finite_difference,,True,1.7473812055709428,0.37281131744384766,True,,,False
11,2.0546875,2.056640625,2.0556640625,-97.65624999999999,,-97.65624999999999,finite_difference,,True,0.5823897349094654,0.37470078468322754,True,,,False
12,2.048828125,2.037109375,2.04296875,585.9375,,585.9375,finite_difference,,True,3.4946673154356516,0.3728165626525879,True,,,False
13,1.9658203125,1.97265625,1.96923828125,-341.796875,,-341.796875,finite_difference,,True,2.038240405537735,0.37250399589538574,True,,,False
14,1.9140625,1.8955078125,1.90478515625,927.7343749999999,,927.7343749999999,finite_difference,,True,5.532891378842601,0.37448763847351074,True,,,False
15,2.3046875,2.31640625,2.310546875,-585.9375,,-585.9375,finite_difference,,True,3.4948448361386824,0.3765254020690918,True,,,False
16,2.40625,2.376953125,2.3916015625,1464.8437499999998,,1464.8437499999998,finite_difference,,True,8.735160483515763,0.3722848892211914,True,,,False
17,2.234375,2.22265625,2.228515625,585.9375,,585.9375,finite_difference,,True,3.4947040433162404,0.3728621006011963,True,,,False
18,2.162109375,2.16015625,2.1611328125,97.65624999999999,,97.65624999999999,finite_difference,,True,0.5823449291193585,0.3745288848876953,True,,,False
19,2.275390625,2.287109375,2.28125,-585.9375,,-585.9375,finite_difference,,True,3.494976377450127,0.37198591232299805,True,,,False
20,2.013671875,2.015625,2.0146484375,-97.65624999999999,,-97.65624999999999,finite_difference,,True,0.5824927318482626,0.3721272945404053,True,,,False
21,1.98828125,1.9755859375,1.98193359375,634.765625,,634.765625,finite_difference,,True,3.786631014975903,0.372830867767334,True,,,False
22,2.05078125,2.046875,2.048828125,195.31249999999997,,195.31249999999997,finite_difference,,True,1.1648494996414827,0.37251973152160645,True,,,False
23,2.0625,2.06640625,2.064453125,-195.31249999999997,,-195.31249999999997,finite_difference,,True,1.164778216474053,0.37445998191833496,True,,,False
24,2.0234375,2.009765625,2.0166015625,683.59375,,683.59375,finite_difference,,True,4.077249441633785,0.37212467193603516,True,,,False
25,2.189453125,2.193359375,2.19140625,-195.31249999999997,,-195.31249999999997,finite_difference,,True,1.1646467802019194,0.37272000312805176,True,,,False
26,2.248046875,2.244140625,2.24609375,195.31249999999997,,195.31249999999997,finite_difference,,True,1.1648867895176778,0.37254977226257324,True,,,False
27,2.068359375,2.080078125,2.07421875,-585.9375,,-585.9375,finite_difference,,True,3.4945832787144027,0.37203025817871094,True,,,False
28,2.107421875,2.099609375,2.103515625,390.62499999999994,,390.62499999999994,finite_difference,,True,2.3299191982215834,0.3725912570953369,True,,,False
29,2.109375,2.111328125,2.1103515625,-97.65624999999999,,-97.65624999999999,finite_difference,,True,0.5823215724426332,0.3748962879180908,True,,,False
30,1.8603515625,1.865234375,1.86279296875,-244.14062499999997,,-244.14062499999997,finite_difference,,True,1.4558089346935665,0.3730301856994629,True,,,False
31,2.056640625,2.06640625,2.0615234375,-488.28124999999994,,-488.28124999999994,finite_difference,,True,2.911987275273334,0.3724081516265869,True,,,False
32,1.8701171875,1.875,1.87255859375,-244.14062499999997,,-244.14062499999997,finite_difference,,True,1.4559011362562388,0.37231945991516113,True,,,False
