group,model,dataset,seed,h,alignment_eff,norm_ratio_eff,zero_coord_frac_eff,rms_snap_error,visibility_pass
C_model,OPT-1.3B,sst-2,16,1e-05,0.9177118699233457,1.0363324196929253,0.3877615901663321,8.29157640740561e-06,False
C_model,OPT-1.3B,sst-2,16,3e-05,0.9876947103053415,1.0118641780914566,0.15353946154372086,9.495046744567943e-06,False
C_model,OPT-1.3B,sst-2,16,0.0001,0.9988365854294541,1.0010993936644983,0.04752924574478007,9.655269979552091e-06,True
C_model,OPT-1.3B,sst-2,16,0.0003,0.9998681805223937,1.000118248572536,0.015910700886594593,9.743174314964952e-06,True
C_model,OPT-1.3B,sst-2,16,0.001,0.9999884484979167,1.0000154941415444,0.0047760929387566445,9.615618134795559e-06,True
C_model,OPT-1.3B,sst-2,16,0.0015,0.9999949462939669,1.0000050746629738,0.0031838874400072084,9.544198605650794e-06,True
C_model,OPT-1.3B,sst-2,16,0.002,0.9999971876650118,1.0000070832263996,0.0023880623822579907,9.493140709279183e-06,True
C_model,OPT-1.3B,sst-2,16,0.003,0.9999987700072044,1.0000008719784819,0.0015916444153624351,9.447599220819624e-06,True
C_model,OPT-1.3B,sst-2,16,0.004,0.9999993167076741,1.0000050549424748,0.001194061544353199,9.452725298192535e-06,True
C_model,OPT-1.3B,sst-2,16,0.005,0.9999995607661992,1.0000007191012577,0.0009555916046512136,9.523481226853202e-06,True
C_model,OPT-1.3B,sst-2,16,0.01,0.9999998842979738,1.0000004607086919,0.00047770464765072924,1.0241954709145442e-05,True
C_model,OPT-1.3B,sst-2,17,1e-05,0.9177123216023002,1.0363332785420196,0.3877642203990873,8.291546378652021e-06,False
C_model,OPT-1.3B,sst-2,17,3e-05,0.9876945859576862,1.011864992060767,0.15354652325220758,9.495088415346872e-06,False
C_model,OPT-1.3B,sst-2,17,0.0001,0.9988365018635869,1.0010986056273539,0.0475344639342819,9.655592278073091e-06,True
C_model,OPT-1.3B,sst-2,17,0.0003,0.9998681680152319,1.0001178976735323,0.015909844631165022,9.743685911472893e-06,True
C_model,OPT-1.3B,sst-2,17,0.001,0.999988451061494,1.000015500054269,0.004775861893244084,9.616030210256152e-06,True
C_model,OPT-1.3B,sst-2,17,0.0015,0.9999949420952373,1.0000050893874657,0.003184718139827042,9.544333067656487e-06,True
C_model,OPT-1.3B,sst-2,17,0.002,0.9999971916897747,1.0000070909434888,0.002389102752080382,9.493207666585492e-06,True
C_model,OPT-1.3B,sst-2,17,0.003,0.9999987741258186,1.0000009101295873,0.0015923423020134523,9.448264142594202e-06,True
C_model,OPT-1.3B,sst-2,17,0.004,0.9999993109151122,1.000005040638475,0.0011946858042475405,9.452464959315167e-06,True
C_model,OPT-1.3B,sst-2,17,0.005,0.999999560022211,1.000000723057937,0.0009557632737471009,9.523793601262922e-06,True
C_model,OPT-1.3B,sst-2,17,0.01,0.9999998820384203,1.0000004611698756,0.0004781725338141188,1.0242271194930336e-05,True
