group,model,dataset,seed,h,nmse,corr,mse,bias,mae,median_abs_error,alignment_eff,norm_ratio_eff,zero_coord_frac_eff,rms_snap_error,visibility_pass,empirical_oracle_flags
C_model,OPT-1.3B,sst-2,16,1e-05,0.7544539923319256,0.8498762042414316,1844.859195245936,-0.4177694037004418,35.38707672210441,30.957253369788504,0.9177118699233457,1.0363324196929253,0.3877615901663321,8.29157640740561e-06,False,
C_model,OPT-1.3B,sst-2,16,3e-05,0.12333142232591092,0.9370982155398969,301.5811578350217,-0.04250849430204706,13.920549867211385,13.864245917447327,0.9876947103053415,1.0118641780914566,0.15353946154372086,9.495046744567943e-06,False,
C_model,OPT-1.3B,sst-2,16,0.0001,0.012407668472656513,0.9938561144242947,30.340354091827415,-1.1893142774148902,4.499164652481338,3.7561158361787825,0.9988365854294541,1.0010993936644983,0.04752924574478007,9.655269979552091e-06,True,empirical_min_nmse;empirical_max_corr
C_model,OPT-1.3B,sst-2,16,0.0003,0.018665289750006836,0.9909406116734926,45.6420560792527,-1.4156132454121246,5.367746290819996,4.590703113479179,0.9998681805223937,1.000118248572536,0.015910700886594593,9.743174314964952e-06,True,
C_model,OPT-1.3B,sst-2,16,0.001,0.0527280362356901,0.9737243391531318,128.93536714678402,-1.469148771409603,9.291143664049503,8.766986979683182,0.9999884484979167,1.0000154941415444,0.0047760929387566445,9.615618134795559e-06,True,
C_model,OPT-1.3B,sst-2,16,0.0015,0.05773496901185793,0.9708773796126551,141.1787723987607,-0.5876302236759783,9.892788564967146,9.46392828637002,0.9999949462939669,1.0000050746629738,0.0031838874400072084,9.544198605650794e-06,True,
C_model,OPT-1.3B,sst-2,16,0.002,0.08318916919815313,0.9576790778314479,203.42168680918311,1.430362014527706,11.47084501278047,10.529743947032248,0.9999971876650118,1.0000070832263996,0.0023880623822579907,9.493140709279183e-06,True,
C_model,OPT-1.3B,sst-2,16,0.003,0.2713060893525703,0.8611043677508262,663.4222083194943,6.979558478847729,20.64329612942108,17.585901282742235,0.9999987700072044,1.0000008719784819,0.0015916444153624351,9.447599220819624e-06,True,
C_model,OPT-1.3B,sst-2,16,0.004,0.849499905638041,0.5502434801174833,2077.274066020708,16.418562520723132,36.87370251264787,28.89566265572216,0.9999993167076741,1.0000050549424748,0.001194061544353199,9.452725298192535e-06,True,
C_model,OPT-1.3B,sst-2,16,0.005,1.0580183238263934,0.49366832665770816,2587.1621772677545,22.24525280153313,40.98378837471036,31.793331973291153,0.9999995607661992,1.0000007191012577,0.0009555916046512136,9.523481226853202e-06,True,
C_model,OPT-1.3B,sst-2,16,0.01,0.8777997424079962,0.4564225055755753,2146.4753885925966,16.864174528475193,39.43740552481624,37.42987090146979,0.9999998842979738,1.0000004607086919,0.00047770464765072924,1.0241954709145442e-05,True,
C_model,OPT-1.3B,sst-2,17,1e-05,0.709900836665179,0.8060594574104832,1989.5970119685335,4.272361975942338,37.05090766179535,32.49905931903067,0.9177123216023002,1.0363332785420196,0.3877642203990873,8.291546378652021e-06,False,
C_model,OPT-1.3B,sst-2,17,3e-05,0.09453439886142573,0.9620723097881103,264.9459583488893,1.1458500047865363,13.521037584439364,10.493352997536883,0.9876945859576862,1.011864992060767,0.15354652325220758,9.495088415346872e-06,False,
C_model,OPT-1.3B,sst-2,17,0.0001,0.014726992929053632,0.9927743494491184,41.27447048036991,-0.0017008363860001041,5.305141235681715,4.078892982460195,0.9988365018635869,1.0010986056273539,0.0475344639342819,9.655592278073091e-06,True,empirical_min_nmse;empirical_max_corr
C_model,OPT-1.3B,sst-2,17,0.0003,0.019393432233501574,0.9916187667690886,54.35282342368536,0.5516786198161894,5.896452145616137,4.90551387118299,0.9998681680152319,1.0001178976735323,0.015909844631165022,9.743685911472893e-06,True,
C_model,OPT-1.3B,sst-2,17,0.001,0.03985675022711092,0.9799096490245377,111.70415227449146,-0.08285628553799296,8.490054647238736,6.588302528423588,0.999988451061494,1.000015500054269,0.004775861893244084,9.616030210256152e-06,True,
C_model,OPT-1.3B,sst-2,17,0.0015,0.07341277310191469,0.9631209229757436,205.74962932855746,-1.5031623273747312,10.520773269784277,7.34531754636313,0.9999949420952373,1.0000050893874657,0.003184718139827042,9.544333067656487e-06,True,
C_model,OPT-1.3B,sst-2,17,0.002,0.12016971480288717,0.9417585997923177,336.79253939758405,-3.539149890805994,12.93928618574532,6.6827601731293065,0.9999971916897747,1.0000070909434888,0.002389102752080382,9.493207666585492e-06,True,
C_model,OPT-1.3B,sst-2,17,0.003,0.46053618709497773,0.7838604235937009,1290.7174839402373,-2.742361829147453,28.513552783954722,26.211484530710763,0.9999987741258186,1.0000009101295873,0.0015923423020134523,9.448264142594202e-06,True,
C_model,OPT-1.3B,sst-2,17,0.004,1.0813327066478102,0.49856206424028526,3030.5871059355213,-3.525918590988434,48.01390743081058,48.703277212346684,0.9999993109151122,1.000005040638475,0.0011946858042475405,9.452464959315167e-06,True,
C_model,OPT-1.3B,sst-2,17,0.005,1.9938057317812812,0.3928692583933554,5587.92118774291,1.082247254286493,61.94830546863745,53.957572716712185,0.999999560022211,1.000000723057937,0.0009557632737471009,9.523793601262922e-06,True,
C_model,OPT-1.3B,sst-2,17,0.01,1.1401888811497047,0.37978494034663096,3195.539818873508,6.333086212013448,45.26162680168726,35.05199772786738,0.9999998820384203,1.0000004611698756,0.0004781725338141188,1.0242271194930336e-05,True,
