group,model,dataset,seed,h,nmse,corr,mse,bias,mae,median_abs_error,alignment_eff,norm_ratio_eff,zero_coord_frac_eff,rms_snap_error,visibility_pass,empirical_oracle_flags
A_seed,roberta-large,sst-5,16,1e-05,0.29925839597109377,0.8421460487359362,49.77350203720866,-0.3156970550228949,5.880368535014256,5.83644692060743,0.7952798800687139,0.9663967046239136,0.5935504604028912,1.2598528991414509e-05,False,
A_seed,roberta-large,sst-5,16,3e-05,0.05234975737244853,0.9719436123972812,8.706959571742914,0.12935095930002155,2.24238583792388,1.5809919822097913,0.9414161319626088,1.0197379243485947,0.30571003948927145,2.0773253055528022e-05,False,
A_seed,roberta-large,sst-5,16,0.0001,0.005800781438414534,0.9970338671494801,0.9648023601991665,0.1885582397769099,0.7911232062556125,0.589381307971518,0.992127168628137,1.0072306819845056,0.10904313159322082,2.522829390567106e-05,False,
A_seed,roberta-large,sst-5,16,0.0003,0.0031969521112075946,0.9985536002506507,0.5317261088154063,0.2815414856265196,0.5870481430704491,0.44722324031624083,0.9991116409810068,1.0008757062392393,0.037379652525847906,2.5307176117145658e-05,True,empirical_min_nmse;empirical_max_corr
A_seed,roberta-large,sst-5,16,0.001,0.0032858061958666402,0.9983672532162138,0.5465045712523249,0.18879665835601145,0.6247564383605964,0.5903640862542012,0.9999226803374133,1.0000805859329596,0.011256094435023435,2.4873678253804666e-05,True,
A_seed,roberta-large,sst-5,16,0.0015,0.0079290141177249,0.9962477630339245,1.3187760332036178,0.14794760846994376,0.8712236070142096,0.61835651363862,0.9999662333749548,1.0000346041906913,0.007504832068387466,2.4657316912519527e-05,True,
A_seed,roberta-large,sst-5,16,0.002,0.019510019209362326,0.9906881571527039,3.24496152467841,0.030188698608696996,1.3207053189922089,0.9435717325079089,0.9999812776795343,1.000022525379893,0.005628331267930322,2.44827110938534e-05,True,
A_seed,roberta-large,sst-5,16,0.003,0.06602351752426634,0.9665954983490911,10.981217998358776,-0.24017797009247477,2.46533570208523,1.8573795075642483,0.9999918574920268,1.0000081935068248,0.0037515568353007796,2.4223530474657604e-05,True,
A_seed,roberta-large,sst-5,16,0.004,0.1348888393476853,0.9294984025553885,22.43509291788505,-0.8871267844845646,3.5747087012283796,2.6088035446805584,0.999995500730309,1.0000087216310791,0.0028138870990886654,2.4033539438579724e-05,True,
A_seed,roberta-large,sst-5,16,0.005,0.2303353718053079,0.8811269413632622,38.310029901049475,-1.83855996624726,4.804386480412398,3.8682571484334467,0.9999971541759467,1.000003155346361,0.002251458996937825,2.3914708625342543e-05,True,
