group,model,dataset,seed,L_mode,h2,m_L,lambda_q50,lambda_q90,lambda_q95,median_abs_K,MAD_K,SNR2,finite_rate,zero_K_frac,stability_q90_2x,stability_q90_next,stability_q90_prev,log_slope_q90_next,log_slope_q90_prev,low_h2_noise_suspected,large_h2_nonlocal_suspected,alignment_eff,norm_ratio_eff,zero_coord_frac_eff,rms_snap_error
A_seed,roberta-large,sst-5,16,L_clean32,1e-05,16,1.6071741817409646e-05,3.506662235592895e-05,5.3328207294946835e-05,6556.510925292968,5364.418029785155,0.8243775949158385,1.0,0.0625,nan,0.1389046457057688,nan,0.11839205218068556,nan,False,False,1.0000000000563334,1.0000000022868898,0.0001375073674772976,3.111925398868188e-09
A_seed,roberta-large,sst-5,16,L_clean32,3e-05,16,1.2824988066626826e-05,3.99375392492819e-05,7.05403224447482e-05,5231.963263617621,5165.735880533854,0.6831380769057822,1.0,0.0,nan,0.27163477781783857,0.12196336737189342,0.19959196625486192,0.11839205218068556,False,False,1.0000000024197468,0.9999999929128879,4.5989202941459695e-05,3.111583248161137e-09
A_seed,roberta-large,sst-5,16,L_clean32,0.0001,16,2.1476373499874538e-05,5.0785964121486574e-05,7.928743991851376e-05,8761.882781982422,4464.387893676758,1.3237669111222894,1.0,0.0,nan,0.42815319035432287,0.21361068646138442,0.5087182662534931,0.19959196625486192,False,False,0.9999999987485624,0.9999999951505082,1.3872814079738591e-05,3.108500087764411e-09
A_seed,roberta-large,sst-5,16,L_clean32,0.0003,16,1.7456031736072914e-05,2.904179112949873e-05,3.0378241532419454e-05,7120.768229166668,2697.4413130018447,1.7805363726718269,1.0,0.0,nan,0.3810987953969608,0.7487200822535175,0.3985219783647809,0.5087182662534931,False,False,1.0000000047425064,0.9999999992073312,4.737237833475253e-06,3.0889154742055707e-09
A_seed,roberta-large,sst-5,16,L_clean32,0.001,16,1.1008819942911179e-05,1.7973999132777827e-05,2.1653958176975884e-05,4490.673542022705,3735.8999252319336,0.8107598887923378,1.0,0.0,0.24745305168644294,0.23484701162787078,0.6157667694982046,0.6601788291936561,0.3985219783647809,False,False,1.0000000011864802,1.000000001587684,1.5192254319773805e-06,3.0373192906206274e-09
A_seed,roberta-large,sst-5,16,L_clean32,0.0015,16,7.364472590636575e-06,1.3752858914596002e-05,1.77218983180688e-05,3004.312515258789,3056.181801689996,0.6630433533114423,1.0,0.0,0.5198286919379522,0.01647518894932586,0.30692817671340494,0.05774574004039777,0.6601788291936561,False,False,1.000000000389397,1.0000000005803664,1.032632050375912e-06,3.009350834333193e-09
A_seed,roberta-large,sst-5,16,L_clean32,0.002,16,6.106537158151576e-06,1.3526277948909423e-05,1.8725685855387608e-05,2491.101622581482,2519.4883346557617,0.6668913692660265,1.0,0.0,0.9594834963505657,0.5452875970809099,0.0167511676006687,1.0733600285239513,0.05774574004039777,False,False,0.9999999996750993,0.999999999705177,7.813684654179751e-07,2.989436435579119e-09
A_seed,roberta-large,sst-5,16,L_clean32,0.003,16,8.690892323948167e-06,2.090199009440634e-05,2.171624352832921e-05,3545.6750128004287,2302.0969496832954,1.0388463581301188,1.0,0.0,nan,0.2680380662163361,0.3528712701188911,0.8254628945624322,1.0733600285239513,False,False,0.9999999974827093,1.000000000569452,5.448129927502588e-07,2.9548940919343488e-09
A_seed,roberta-large,sst-5,16,L_clean32,0.004,16,5.599239769755333e-06,2.650451936742209e-05,3.135948449998224e-05,2284.1617465019226,2407.476305961609,0.6399423277190233,1.0,0.0,nan,0.42054928266094627,0.21138014177770506,2.4453974135633048,0.8254628945624322,False,False,0.9999999976260177,0.999999999891054,4.4124336870662124e-07,2.93470360272601e-09
A_seed,roberta-large,sst-5,16,L_clean32,0.005,16,6.036529746962752e-06,1.5358062339630292e-05,1.7447240013587483e-05,2462.4228477478027,2464.90478515625,0.6738116079500621,1.0,0.0,0.59741637126199,0.59741637126199,0.7257723048341148,1.312639589341257,2.4453974135633048,False,True,0.9999999974590412,0.9999999980148819,3.6096158912249983e-07,2.917421753752551e-09
