quantity,emp_center_slope_median,emp_center_slope_mean,emp_center_slope_std,emp_center_slope_iqr,emp_opt_slope_median,emp_opt_slope_mean,emp_opt_slope_std,emp_opt_slope_iqr,theory_slope,num_groups,center_error_log10_median,endpoint_error_low_log10_median,endpoint_error_high_log10_median,bound_coverage_mean
log empirical center/opt vs log Delta,0.49999999999999994,0.49999999999999967,6.099341205732423e-16,7.771561172376096e-16,-1.1477121254719675,-0.6509255110852864,0.8292409828107925,1.7192803136799168,0.5,12,0.0396123355767247,0.2225204593590344,0.3021355661722866,1.0
log empirical center/opt vs log G,0.5000000000000004,0.5000000000000003,4.0741806800908396e-16,4.440892098500626e-16,0.47712125471966316,1.3929734901732918,1.9908144465595983,0.04575749056067535,0.5,24,0.0396123355767247,0.2225204593590344,0.3021355661722866,1.0
log empirical center/opt vs log L,-0.5000000000000004,-0.5000000000000004,4.1043229949538597e-16,4.440892098500626e-16,-0.47712125471966316,-1.3929734901732915,1.990814446559598,0.04575749056067535,-0.5,24,0.0396123355767247,0.2225204593590344,0.3021355661722866,1.0
log empirical center/opt vs log d,-0.5,-0.5000000000000001,2.4773568083976097e-16,4.440892098500626e-16,-0.5000000000000004,-1.4658901568399578,1.1823576554964623,2.2385606273598295,-0.5,16,0.0396123355767247,0.2225204593590344,0.3021355661722866,1.0
