source,run_name,dataset,task_name,bitwidth,h,h_label,h_policy,hstar_cont,hstar_nearest_grid,Delta_mode,Delta_value,G_mode,G_value,L_mode,L_hat,d_trainable,direction_mode,sparse_ratio,sparse_mask_strategy,sparse_mask_source,sparse_mask_hash,sparse_mask_restored_from_checkpoint,sparse_rescale,active_params_all,mask_active_frac_all,active_params_quantized_linear,mask_active_frac_quantized_linear,scale_refresh_k,status,steps_completed,seed,data_seed,batch_size,gpu_name,gpu_type_requested,fallback_used,best_eval_acc,best_eval_step,last_eval_acc,last_eval_step,best_eval_loss,best_eval_loss_step,last_eval_loss,last_eval_loss_step,final_train_loss,update_scalar_source,d_h_last,d_g_last,fd_true_error_last,update_variant,perturbed_parameter_scope,quantized_forward_scope,active_frac,alignment,norm_ratio,delta_q_norm,ideal_displacement_norm,code_change_frac,delta_visibility_mse,delta_visibility_nmse,delta_visibility_rel_l2,lowbit_true_nmse,lowbit_true_corr,nMSE_metric_version,true_dir_lowbit,true_dir_lowbit_field_name,legacy_nMSE_fd_true,legacy_nMSE_computed,legacy_nMSE_excluded_from_main_selection,saturation_frac_w,saturation_frac_w_plus,saturation_frac_w_minus,weight_recon_mse,weight_recon_rel_mse,weight_recon_sqnr_db,corr_fd_true,nMSE_fd_true,fd_true_available,fd_true_mse,fd_true_nmse,fd_true_rmse,fd_true_bias,run_dir,resume_command,warnings
existing_seed16_lowbit,int4_sparsep0p1_taskgrad_seedfixed_sst5_fixed_small_h1e-5_seed16_full_bs64_step20k,sst-5,sst-5,4,1e-05,1e-5,fixed_small,0.0013388576857165,nan,scale_rms_over_sqrt6,0.002886209991649,clean32_absG_median_1e-4_3e-4_1e-3,14.212155553886564,L_clean32,0.000160848398332,35566596,sparse,0.1,task_grad_static,static_task_gradient_square_before_zo_training,246e7499f494fec4b200db1f072e15f8df62f79dbcd4ba9483ee844bd8dbeb90,False,none,35603003,0.0872754943321774,35603003,0.1001312029985528,1,complete,20000,16,16,64,NVIDIA H100 80GB HBM3,H100,False,0.2728337236533958,20000,0.2728337236533958,20000,1.5859306389051522,3000,101.61446135831382,20000,112.59375,finite_difference,-15624.999999999998,nan,nan,standard,sparse_task_grad_static_p0.1_all_trainable,Linear.weight_only,9.809780260922156e-06,0.008568837413805,266.094869181826,31.7585561159043,0.1193505016210484,9.809780260922156e-06,2.836497888189377e-06,70802.91923762938,266.08817943987924,70802.91923762938,0.008568837413805,dequantized_effective_displacement_nmse_v1,delta_q_dequantized_fp32_over_2h,delta_q_dequantized_fp32_over_2h,nan,False,True,0.0176894917713686,0.0176891681875497,0.0176891625626757,0.0032135779034224,0.0113777683185893,19.43942913860797,nan,nan,False,nan,nan,nan,nan,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch/sparse_p0p1_taskgrad/fixed_small/int4_sparsep0p1_taskgrad_seedfixed_sst5_fixed_small_h1e-5_seed16_full_bs64_step20k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py --manifest outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/manifests/lane0.csv --only-run-name int4_sparsep0p1_taskgrad_seedfixed_sst5_fixed_small_h1e-5_seed16_full_bs64_step20k run-manifest,nan
existing_seed16_lowbit,int4_sparsep0p1_taskgrad_seedfixed_rte_fixed_small_h1e-5_seed16_full_bs64_step20k,rte,rte,4,1e-05,1e-5,fixed_small,0.0004352528589334,nan,scale_rms_over_sqrt6,0.0028858952948455,clean32_absG_median_1e-4_3e-4_1e-3,4.037918061873794,L_clean32,0.0004323457990226,35568337,sparse,0.1,task_grad_static,static_task_gradient_square_before_zo_training,4f5d137da8de6e42c31446032dd2713c5fd37d41a9dfd6953df8af375b0b3bb9,False,none,35564813,0.0871825343713341,35564813,0.1000246602231753,1,complete,20000,16,16,64,NVIDIA H100 80GB HBM3,H100,False,0.5100401606425703,8000,0.4979919678714859,20000,0.692394578313253,19000,0.7078352472389559,20000,0.696044921875,finite_difference,-952.1484375,nan,nan,standard,sparse_task_grad_static_p0.1_all_trainable,Linear.weight_only,1.7237575310963722e-05,0.0146871308893104,50.07073017486949,5.971556986843505,0.1192624306843154,1.7237575310963722e-05,1.0027211056748377e-07,2506.607230470296,50.06602870680174,2506.607230470296,0.0146871308893104,dequantized_effective_displacement_nmse_v1,delta_q_dequantized_fp32_over_2h,delta_q_dequantized_fp32_over_2h,nan,False,True,0.0198549951021438,0.0198549302994602,0.0198549331119215,0.0002054095061165,0.0261772889954239,15.820753323953486,nan,nan,False,nan,nan,nan,nan,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch/sparse_p0p1_taskgrad/fixed_small/int4_sparsep0p1_taskgrad_seedfixed_rte_fixed_small_h1e-5_seed16_full_bs64_step20k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py --manifest outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/manifests/lane0.csv --only-run-name int4_sparsep0p1_taskgrad_seedfixed_rte_fixed_small_h1e-5_seed16_full_bs64_step20k run-manifest,nan
existing_seed16_lowbit,int4_sparsep0p1_taskgrad_seedfixed_sst5_mezo_default_h1e-3_seed16_full_bs64_step20k,sst-5,sst-5,4,0.001,1e-3,mezo_default,0.0013388576857165,nan,scale_rms_over_sqrt6,0.002886209991649,clean32_absG_median_1e-4_3e-4_1e-3,14.212155553886564,L_clean32,0.000160848398332,35566596,sparse,0.1,task_grad_static,static_task_gradient_square_before_zo_training,246e7499f494fec4b200db1f072e15f8df62f79dbcd4ba9483ee844bd8dbeb90,False,none,35603003,0.0872754943321774,35603003,0.1001312029985528,1,complete,20000,16,16,64,NVIDIA H100 80GB HBM3,H100,False,0.4812646370023419,20000,0.4812646370023419,20000,1.29138612412178,20000,1.29138612412178,20000,1.37548828125,finite_difference,5.37109375,nan,nan,standard,sparse_task_grad_static_p0.1_all_trainable,Linear.weight_only,0.0118316496585476,0.4216698457503567,2.120516550539383,25.30819581265184,11.934920199614677,0.0118316496585476,1.485572106743865e-06,3.7082746676192686,1.9256881023725696,3.7082746676192686,0.4216698457503567,dequantized_effective_displacement_nmse_v1,delta_q_dequantized_fp32_over_2h,delta_q_dequantized_fp32_over_2h,nan,False,True,0.0260778044087836,0.0260819949399157,0.0260824223517583,1.957243606774953e-05,0.0129337756908145,18.88274675249596,nan,nan,False,nan,nan,nan,nan,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch/sparse_p0p1_taskgrad/mezo_default/int4_sparsep0p1_taskgrad_seedfixed_sst5_mezo_default_h1e-3_seed16_full_bs64_step20k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py --manifest outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/manifests/lane1.csv --only-run-name int4_sparsep0p1_taskgrad_seedfixed_sst5_mezo_default_h1e-3_seed16_full_bs64_step20k run-manifest,nan
existing_seed16_lowbit,int4_sparsep0p1_taskgrad_seedfixed_rte_mezo_default_h1e-3_seed16_full_bs64_step20k,rte,rte,4,0.001,1e-3,mezo_default,0.0004352528589334,nan,scale_rms_over_sqrt6,0.0028858952948455,clean32_absG_median_1e-4_3e-4_1e-3,4.037918061873794,L_clean32,0.0004323457990226,35568337,sparse,0.1,task_grad_static,static_task_gradient_square_before_zo_training,4f5d137da8de6e42c31446032dd2713c5fd37d41a9dfd6953df8af375b0b3bb9,False,none,35564813,0.0871825343713341,35564813,0.1000246602231753,1,complete,20000,16,16,64,NVIDIA H100 80GB HBM3,H100,False,0.6265060240963856,20000,0.6265060240963856,20000,0.6473981864959839,20000,0.6473981864959839,20000,0.669189453125,finite_difference,-10.498046875,nan,nan,standard,sparse_task_grad_static_p0.1_all_trainable,Linear.weight_only,0.0118898713953696,0.4216466460163561,2.12115559547295,25.30011572386292,11.927515255296338,0.0118898713953696,1.484650378181108e-06,3.710544775160657,1.926277439820302,3.710544775160657,0.4216466460163561,dequantized_effective_displacement_nmse_v1,delta_q_dequantized_fp32_over_2h,delta_q_dequantized_fp32_over_2h,nan,False,True,0.0260816915728084,0.0260862872131558,0.0260856374185217,1.957733345682963e-05,0.0129331689684178,18.88295048447316,nan,nan,False,nan,nan,nan,nan,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch/sparse_p0p1_taskgrad/mezo_default/int4_sparsep0p1_taskgrad_seedfixed_rte_mezo_default_h1e-3_seed16_full_bs64_step20k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py --manifest outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/manifests/lane1.csv --only-run-name int4_sparsep0p1_taskgrad_seedfixed_rte_mezo_default_h1e-3_seed16_full_bs64_step20k run-manifest,nan
existing_seed16_lowbit,int4_sparsep0p1_taskgrad_seedfixed_sst5_hstar_lowbitL_h0p00136650442032_seed16_full_bs64_step20k,sst-5,sst-5,4,0.0013665044203238,0p00136650442032,hstar_lowbitL,0.0013665044203238,0.0015,scale_rms_over_sqrt6,0.002886209991649,rtnclip_int4_shared_grid_absG_median_1e-4_3e-4_1e-3,62.72690384513612,L_lowbit_q90,0.000681486709151,35566596,sparse,0.1,task_grad_static,static_task_gradient_square_before_zo_training,246e7499f494fec4b200db1f072e15f8df62f79dbcd4ba9483ee844bd8dbeb90,False,none,35603003,0.0872754943321774,35603003,0.1001312029985528,1,complete,20000,16,16,64,NVIDIA H100 80GB HBM3,H100,False,0.4754098360655737,19000,0.4672131147540984,20000,1.417541075087822,20000,1.417541075087822,20000,1.54150390625,finite_difference,8.218391820012451,nan,nan,standard,sparse_task_grad_static_p0.1_all_trainable,Linear.weight_only,0.0164519239769029,0.4983122818049019,1.830060572469431,29.84482046898829,16.308105271463624,0.0164519239769029,1.8888270635494644e-06,2.525238379623939,1.58909986458496,2.525238379623939,0.4983122818049019,dequantized_effective_displacement_nmse_v1,delta_q_dequantized_fp32_over_2h,delta_q_dequantized_fp32_over_2h,nan,False,True,0.0260766345207715,0.0260847313733348,0.026086542814909,1.9570416713858607e-05,0.0129341948972231,18.88260599230032,nan,nan,False,nan,nan,nan,nan,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch/sparse_p0p1_taskgrad/hstar_lowbitL/int4_sparsep0p1_taskgrad_seedfixed_sst5_hstar_lowbitL_h0p00136650442032_seed16_full_bs64_step20k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py --manifest outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/manifests/lane3.csv --only-run-name int4_sparsep0p1_taskgrad_seedfixed_sst5_hstar_lowbitL_h0p00136650442032_seed16_full_bs64_step20k run-manifest,nan
existing_seed16_lowbit,int4_sparsep0p1_taskgrad_seedfixed_rte_hstar_lowbitL_h0p000359154678187_seed16_full_bs64_step20k,rte,rte,4,0.0003591546781873,0p000359154678187,hstar_lowbitL,0.0003591546781873,0.0003,scale_rms_over_sqrt6,0.0028858952948455,rtnclip_int4_shared_grid_absG_median_1e-4_3e-4_1e-3,29.57854002453573,L_lowbit_q90,0.0046512607271637,35568337,sparse,0.1,task_grad_static,static_task_gradient_square_before_zo_training,4f5d137da8de6e42c31446032dd2713c5fd37d41a9dfd6953df8af375b0b3bb9,False,none,35564813,0.0871825343713341,35564813,0.1000246602231753,1,complete,20000,16,16,64,NVIDIA H100 80GB HBM3,H100,False,0.6385542168674698,18000,0.6224899598393574,20000,0.6647468781375502,20000,0.6647468781375502,20000,0.6796875,finite_difference,46.22399068777038,nan,nan,standard,sparse_task_grad_static_p0.1_all_trainable,Linear.weight_only,0.0040726408354621,0.245273475489076,3.4707175448298586,14.869477187762168,4.284266004275962,0.0040726408354621,5.855715813702909e-07,11.343330368190475,3.367986099762063,11.343330368190475,0.245273475489076,dequantized_effective_displacement_nmse_v1,delta_q_dequantized_fp32_over_2h,delta_q_dequantized_fp32_over_2h,nan,False,True,0.0260870718148758,0.0260871702510213,0.0260877862175375,1.959436406620137e-05,0.0129296660988078,18.884126903800595,nan,nan,False,nan,nan,nan,nan,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch/sparse_p0p1_taskgrad/hstar_lowbitL/int4_sparsep0p1_taskgrad_seedfixed_rte_hstar_lowbitL_h0p000359154678187_seed16_full_bs64_step20k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py --manifest outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/manifests/lane3.csv --only-run-name int4_sparsep0p1_taskgrad_seedfixed_rte_hstar_lowbitL_h0p000359154678187_seed16_full_bs64_step20k run-manifest,nan
existing_seed16_lowbit,int4_prefix_quantized_seedfixed_sst2_fixed_small_h1e-5_seed16_full_bs64_step20k,sst-2,sst-2,4,1e-05,1e-5,fixed_small,0.0886419832658425,0.01,prefix_int4_rtnclip_scale_rms_over_sqrt6,0.2885099956904725,clean32_absG_median_1e-4_3e-4_1e-3,0.0285117762729773,L_clean32,1.0649598954304798e-06,245760,prefix,0.1,task_grad_static,nan,nan,nan,none,245760,0.0006020860945533,0,0.0,1,complete,20000,16,16,64,NVIDIA H100 80GB HBM3,H100,False,0.5529324424647365,6000,0.4487008166295471,20000,0.7123782015590201,7000,0.8823448809855234,20000,1.0498046875,finite_difference,0.0,nan,nan,standard,prefix_parameters_only,base_Linear.weight_plus_prefix_params_int4,0.0,0.0,0.0,0.0,0.0099245510436209,0.0,4.0078415290298764e-10,1.0,1.0,1.0,0.0,dequantized_effective_displacement_nmse_v1,delta_q_dequantized_fp32_over_2h,delta_q_dequantized_fp32_over_2h,nan,False,True,0.0260816385614178,0.028397624186861,0.028397624186861,2.135463001922516,0.0112404105072554,19.492178277544745,nan,nan,False,nan,nan,nan,nan,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch/prefix_quantized/fixed_small/int4_prefix_quantized_seedfixed_sst2_fixed_small_h1e-5_seed16_full_bs64_step20k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py --manifest outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/manifests/lane4.csv --only-run-name int4_prefix_quantized_seedfixed_sst2_fixed_small_h1e-5_seed16_full_bs64_step20k run-manifest,nan
existing_seed16_lowbit,int4_prefix_quantized_seedfixed_trec_fixed_small_h1e-5_seed16_full_bs64_step20k,trec,trec,4,1e-05,1e-5,fixed_small,0.0949896412434653,0.01,prefix_int4_rtnclip_scale_rms_over_sqrt6,0.2885099956904725,clean32_absG_median_1e-4_3e-4_1e-3,0.1250035955374203,L_clean32,4.065911464304133e-06,245760,prefix,0.1,task_grad_static,nan,nan,nan,none,245760,0.0006020800469195,0,0.0,1,complete,20000,16,16,64,NVIDIA H100 80GB HBM3,H100,False,0.2234432234432234,12000,0.2234432234432234,20000,1.8509830013736264,9000,1.89766841231685,20000,1.947265625,finite_difference,0.0,nan,nan,standard,prefix_parameters_only,base_Linear.weight_plus_prefix_params_int4,4.069010416666667e-06,0.0009559429750887,24333.594428021097,241.5,0.0099245510436209,4.069010416666667e-06,0.2373138131856353,592123744.0819639,24333.59291354164,592123744.0819639,0.0009559429750887,dequantized_effective_displacement_nmse_v1,delta_q_dequantized_fp32_over_2h,delta_q_dequantized_fp32_over_2h,nan,False,True,0.0260814085781985,0.0281005863798782,0.0281005863798782,2.4869850324857885,0.0113367082278767,19.45513030628359,nan,nan,False,nan,nan,nan,nan,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch/prefix_quantized/fixed_small/int4_prefix_quantized_seedfixed_trec_fixed_small_h1e-5_seed16_full_bs64_step20k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py --manifest outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/manifests/lane4.csv --only-run-name int4_prefix_quantized_seedfixed_trec_fixed_small_h1e-5_seed16_full_bs64_step20k run-manifest,nan
existing_seed16_lowbit,int4_prefix_quantized_seedfixed_sst2_mezo_default_h1e-3_seed16_full_bs64_step20k,sst-2,sst-2,4,0.001,1e-3,mezo_default,0.0886419832658425,0.01,prefix_int4_rtnclip_scale_rms_over_sqrt6,0.2885099956904725,clean32_absG_median_1e-4_3e-4_1e-3,0.0285117762729773,L_clean32,1.0649598954304798e-06,245760,prefix,0.1,task_grad_static,nan,nan,nan,none,245760,0.0006020860945533,0,0.0,1,complete,20000,16,16,64,NVIDIA H100 80GB HBM3,H100,False,0.6120267260579064,13000,0.5606533036377135,20000,0.6689005805725686,13000,0.6799927935922421,20000,0.660400390625,finite_difference,-0.732421875,nan,nan,standard,prefix_parameters_only,base_Linear.weight_plus_prefix_params_int4,0.0031453450520833,0.05874966830733,14.34194943722198,14.247469745906637,0.9934123536173902,0.0031453450520833,0.0008232186763195,205.0063438130508,14.318042597123767,205.0063438130508,0.05874966830733,dequantized_effective_displacement_nmse_v1,delta_q_dequantized_fp32_over_2h,delta_q_dequantized_fp32_over_2h,nan,False,True,0.0260782294021395,0.0234537764141956,0.0234619144078654,5.394027135180703e-05,0.0171535923288851,17.656449155489987,nan,nan,False,nan,nan,nan,nan,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch/prefix_quantized/mezo_default/int4_prefix_quantized_seedfixed_sst2_mezo_default_h1e-3_seed16_full_bs64_step20k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py --manifest outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/manifests/lane5.csv --only-run-name int4_prefix_quantized_seedfixed_sst2_mezo_default_h1e-3_seed16_full_bs64_step20k run-manifest,nan
existing_seed16_lowbit,int4_prefix_quantized_seedfixed_trec_mezo_default_h1e-3_seed16_full_bs64_step20k,trec,trec,4,0.001,1e-3,mezo_default,0.0949896412434653,0.01,prefix_int4_rtnclip_scale_rms_over_sqrt6,0.2885099956904725,clean32_absG_median_1e-4_3e-4_1e-3,0.1250035955374203,L_clean32,4.065911464304133e-06,245760,prefix,0.1,task_grad_static,nan,nan,nan,none,245760,0.0006020800469195,0,0.0,1,complete,20000,16,16,64,NVIDIA H100 80GB HBM3,H100,False,0.2417582417582417,3000,0.1556776556776556,20000,1.7210501087454213,4000,2.064639136904762,20000,2.10546875,finite_difference,-11.71875,nan,nan,standard,prefix_parameters_only,base_Linear.weight_plus_prefix_params_int4,0.0001220703125,0.0120209974136253,70.53333604348762,70.06868736751787,0.9934123536173902,0.0001220703125,0.019974504872918,4974.255724834289,70.52840367422398,4974.255724834289,0.0120209974136253,dequantized_effective_displacement_nmse_v1,delta_q_dequantized_fp32_over_2h,delta_q_dequantized_fp32_over_2h,nan,False,True,0.0260811584448175,0.0277465822873637,0.0277465822873637,0.0100009320266846,0.0113256970051823,19.459350611747496,nan,nan,False,nan,nan,nan,nan,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch/prefix_quantized/mezo_default/int4_prefix_quantized_seedfixed_trec_mezo_default_h1e-3_seed16_full_bs64_step20k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py --manifest outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/manifests/lane5.csv --only-run-name int4_prefix_quantized_seedfixed_trec_mezo_default_h1e-3_seed16_full_bs64_step20k run-manifest,nan
