h,G_clean32_abs,G_clean32_rms,d2_clean32_mean,d2_clean32_abs_mean
1e-05,21.432389378298343,17.10057258605957,17.10057258605957,17.10057258605957
3e-05,21.422428932438788,17.09262530008952,17.09262530008952,17.09262530008952
0.0001,21.41894277638794,17.08984375,17.08984375,17.08984375
0.0003,21.360176145816567,17.042954762776695,17.042954762776695,17.042954762776695
0.001,21.432165268266502,17.100393772125244,17.100393772125244,17.100393772125244
0.0015,21.84460243019604,17.429471015930176,17.429471015930176,17.429471015930176
0.002,21.926776108537375,17.495036125183105,17.495036125183105,17.495036125183105
0.003,22.735240597842836,18.140097459157307,18.140097459157307,18.140097459157307
0.004,23.24198450622638,18.54442059993744,18.54442059993744,18.54442059993744
0.005,22.613434305426335,18.04291009902954,18.04291009902954,18.04291009902954
0.01,29.564042595587146,23.588693141937256,-23.588693141937256,23.588693141937256
