group,model,dataset,seed,selected_h3_values,S3_sq_multi,S3_rms_multi,rho3_q90_selected,selection_status,fallback_flags
A_seed,roberta-large,sst-5,16,0.0015;0.003;0.004,1110851602258.6301,1053969.4503440934,2.123549676555676e-07,selected,
A_seed,roberta-large,sst-5,17,0.001;0.0015;0.002;0.003,4352718170455.1855,2086316.8911877184,3.7247977880855626e-07,selected,
A_seed,roberta-large,sst-5,18,0.001;0.0015;0.002;0.003;0.004,3994215095053.1,1998553.2504922405,3.991090177610614e-07,selected,
A_seed,roberta-large,sst-5,19,0.001;0.0015;0.002;0.003;0.004,3790921944319.5415,1947029.004488516,3.610907641555994e-07,selected,
B_task,roberta-large,rte,16,0.001;0.0015;0.002;0.004,1349845224103.7349,1161828.3970121124,2.0922717206863708e-07,selected,
B_task,roberta-large,rte,17,0.001;0.0015;0.002;0.003;0.004,930999730791.7554,964883.2731433142,1.7265371527936823e-07,selected,
B_task,roberta-large,rte,18,0.001;0.0015;0.002;0.003;0.004,1388457580971.9814,1178328.299317292,2.376565848122081e-07,selected,
