group,model,dataset,seed,h4_fdG,h6_fdG_S3,h6_trueG_S3,h_oracle,oracle_over_h4,oracle_over_h6_fdG,oracle_over_h6_trueG,nmse_ratio_h4,nmse_ratio_h6_fdG,nmse_ratio_h6_trueG
A_seed,roberta-large,sst-5,16,9.919028122993445e-05,0.0010425292286200057,0.0010629160332435155,0.0003,3.0244898621122527,0.2877617161843122,0.2822424261345859,1.5662685931993587,1.1001508217086067,1.1284222733740872
A_seed,roberta-large,sst-5,17,0.00013044514540882748,0.0009243700557232103,0.000931073809851051,0.0003,2.299817283807469,0.32454534646872074,0.3222086120626598,5.092268435963924,1.869738538234072,1.7954223135559215
A_seed,roberta-large,sst-5,18,0.00011032929148773196,0.0009404342221110938,0.0009609501397921391,0.0003,2.7191328427352257,0.3190015770869734,0.31219101551397066,6.138890278931252,2.3590193614247106,2.1990700162549564
A_seed,roberta-large,sst-5,19,0.00012111857383681684,0.0008979686658882509,0.0009228365439784482,0.0003,2.476911595773826,0.3340873812152973,0.32508465551945687,7.104587665893606,4.8319257480196525,5.0990722420243415
B_task,roberta-large,rte,16,0.00014655304343610945,0.0010699333979555961,0.0010312181357336094,0.001,6.823467985064092,0.9346376156784869,0.9697269329816424,1.2484261283892693,0.9928690866217682,1.0223295488696842
B_task,roberta-large,rte,17,0.00012309782899268357,0.0009560040956281532,0.0009712677557271195,0.0003,2.437086035187759,0.31380618699429486,0.30887466224533644,0.7092951322145509,1.1076428274872467,1.0255156927225557
B_task,roberta-large,rte,18,0.00016425760430317647,0.0009902220264171226,0.0010441125212264338,0.001,6.0879982040542995,1.0098745264415665,0.9577511807112337,1.7102454119587684,0.9925995334478337,1.00877319987078
