h,e_abs_mean,e_abs_std,corr_mean,corr_std,sign_match_mean,deltaL_mean,deltaL_std,delta_pred_mean,delta_pred_std
1e-08,18.168425519388542,9.163062702949482,0.695567188665504,0.20953695696763217,0.7363861386138614,-0.000650773544122677,0.0007181406441655975,-0.0006518034151472902,0.000718688231529772
3e-08,7.089105159414863,3.623950253327706,0.9326871707229617,0.05079680170937161,0.8849009900990099,-0.0006547351874927483,0.0006394708196110546,-0.0006554283815893235,0.0006400218288736438
1e-07,2.449253397925394,1.3582570504191003,0.9904803920788604,0.010203253236291888,0.9579207920792079,-0.0006728679826944181,0.00068699454975508,-0.0006735475103774848,0.0006876907888810635
3e-07,0.8916987712700196,0.4821982597453501,0.998766082707731,0.001269481004829481,0.995049504950495,-0.0006637909624836232,0.0006583298850162887,-0.0006644144642636666,0.0006588463500611769
1e-06,0.283751355515222,0.15970840951615825,0.9998848128991571,0.00011198397164609094,0.9987623762376238,-0.0006656735250265292,0.0006598680472392301,-0.0006662959458962726,0.0006603102698618162
3e-06,0.0989434013378934,0.059739615152156374,0.9999850091840573,1.3845045135825967e-05,0.9987623762376238,-0.0006650975435086997,0.0006586441048839608,-0.0006656752076003538,0.0006590296937221788
1e-05,0.032742282887021495,0.02344098070563795,0.9999961994713912,2.16573026067438e-05,1.0,-0.0006653288803478279,0.0006590866850775598,-0.0006659448624377583,0.0006596090367424485
3e-05,0.03676318564138591,0.09491288841919925,0.9999443065429736,0.0003172654743222307,1.0,-0.0006653277000578323,0.000658816133621938,-0.0006658999767603565,0.0006593860209154049
0.0001,0.15571551658105404,0.31737729711012325,0.9994041051662775,0.003219625467286935,0.9975247524752475,-0.0006642801926867797,0.0006574714463336325,-0.0006650207183129535,0.0006580696273983598
0.0003,0.5244747007140367,0.5013674098065114,0.9983051836463334,0.006202659567460248,0.9876237623762376,-0.0006575596214521049,0.0006497851395971945,-0.0006581723524875335,0.0006501331223953869
0.001,2.390702564807731,1.556700598000949,0.9916697064270539,0.010525769090461757,0.9616336633663366,-0.0005995306638207766,0.0005724740862456555,-0.0006000288424519985,0.0005728410579279277
0.003,10.068526248967093,6.029340098372188,0.8654408747496611,0.12201739634841484,0.8576732673267327,-0.00034590699885151175,0.00028621346586036337,-0.00034604302657740546,0.00028630112973673
0.01,21.156104521075566,9.111983712120402,-0.060874386385144294,0.3767850822278806,0.48886138613861385,1.2436125538136699e-05,7.11508000150382e-05,1.2525847710938552e-05,7.113255722468323e-05
