d,Delta,G,L,n_dirs,h,A_true,envelope,rho_theory,rho_emp,vector_radius_error,V_dir,h_ref,W1_low,W1_high,W01_low,W01_high
1000,1e-05,10.0,1.0,256,0.0003,0.029676205733958853,0.5886976778776529,0.0038966210678210676,0.0002993828698661873,29.96822527360535,100100.0,0.00015803492474010034,5.007489425950746e-06,0.004987536730131599,1.5835862204082863e-05,0.0015771188910175633
1000,1e-05,10.0,1.0,256,0.001,0.2542385853744491,4.2106999000998755,0.040225194805194806,0.002559472526382888,256.20319989092707,100100.0,0.00015803492474010034,5.007489425950746e-06,0.004987536730131599,1.5835862204082863e-05,0.0015771188910175633
1000,1e-05,10.0,1.0,256,0.003,2.266834865696553,36.27247767787765,0.36180386502386513,0.02281194872924625,2283.4760677975496,100100.0,0.00015803492474010034,5.007489425950746e-06,0.004987536730131599,1.5835862204082863e-05,0.0015771188910175633
1000,1e-05,10.0,1.0,256,0.01,25.189907951423322,401.0002249000999,4.020012238761239,0.253499415633458,25375.291504909146,100100.0,0.00015803492474010034,5.007489425950746e-06,0.004987536730131599,1.5835862204082863e-05,0.0015771188910175633
1000,1e-05,10.0,1.0,256,0.03,226.71795248257277,3607.4002026778776,36.180107919968926,2.2815774595492306,228385.90370087797,100100.0,0.00015803492474010034,5.007489425950746e-06,0.004987536730131599,1.5835862204082863e-05,0.0015771188910175633
1000,1e-05,10.0,1.0,256,0.1,2519.1077942800043,40080.2002001501,402.0011988037064,25.351052474743337,2537640.352721808,100100.0,0.00015803492474010034,5.007489425950746e-06,0.004987536730131599,1.5835862204082863e-05,0.0015771188910175633
1000,1e-05,10.0,1.0,256,0.3,22671.99711038404,360720.2001999279,3618.0107892110677,228.15974324294288,22838790.29861858,100100.0,0.00015803492474010034,5.007489425950746e-06,0.004987536730131599,1.5835862204082863e-05,0.0015771188910175633
1000,1e-05,10.0,1.0,256,1.0,251911.05543337445,4008000.2001999025,40200.1198801199,2535.108020098085,253764312.81181833,100100.0,0.00015803492474010034,5.007489425950746e-06,0.004987536730131599,1.5835862204082863e-05,0.0015771188910175633
1000,0.0001,1.0,0.1,256,1e-08,1.1181129428434984,25000000.020019986,25074925.074925076,1.1235440567995765,1124.667600856376,1001.0,0.0004997503120320105,5.007739327747256e-05,0.004987287836494368,0.00015916316134022276,0.0015691468570558974
1000,0.0001,1.0,0.1,256,3e-08,1.1181129428434984,2777777.7977977684,2786102.786102787,1.1235440567995765,1124.667600856376,1001.0,0.0004997503120320105,5.007739327747256e-05,0.004987287836494368,0.00015916316134022276,0.0015691468570558974
1000,0.0001,1.0,0.1,256,1e-07,1.1181129428434984,250000.02001999048,250749.25074925122,1.1235440567995765,1124.667600856376,1001.0,0.0004997503120320105,5.007739327747256e-05,0.004987287836494368,0.00015916316134022276,0.0015691468570558974
1000,0.0001,1.0,0.1,256,3e-07,1.1181129428434984,27777.7977977714,27861.02786103149,1.1235440567995765,1124.667600856376,1001.0,0.0004997503120320105,5.007739327747256e-05,0.004987287836494368,0.00015916316134022276,0.0015691468570558974
1000,0.0001,1.0,0.1,256,1e-06,1.1181129428434984,2500.02002003009,2507.4925075327087,1.1235440567995765,1124.667600856376,1001.0,0.0004997503120320105,5.007739327747256e-05,0.004987287836494368,0.00015916316134022276,0.0015691468570558974
1000,0.0001,1.0,0.1,256,3e-06,1.1181129428434984,277.79779812850774,278.6102789720797,1.1235440567995765,1124.667600856376,1001.0,0.0004997503120320105,5.007739327747256e-05,0.004987287836494368,0.00015916316134022276,0.0015691468570558974
1000,0.0001,1.0,0.1,256,1e-05,1.1181129428434984,25.020023998009986,25.074929094937065,1.1235440567995765,1124.667600856376,1001.0,0.0004997503120320105,5.007739327747256e-05,0.004987287836494368,0.00015916316134022276,0.0015691468570558974
1000,0.0001,1.0,0.1,256,3e-05,0.7344361717685368,2.797833839787765,2.7861389662106784,0.7428995854447827,743.6424850302275,1001.0,0.0004997503120320105,5.007739327747256e-05,0.004987287836494368,0.00015916316134022276,0.0015691468570558974
1000,0.0001,1.0,0.1,256,0.0001,0.08455063301237842,0.2704207900099875,0.25115125194805193,0.08521696911399607,85.30218608311006,1001.0,0.0004997503120320105,5.007739327747256e-05,0.004987287836494368,0.00015916316134022276,0.0015691468570558974
1000,0.0001,1.0,0.1,256,0.0003,0.009500569239107443,0.0514049677877653,0.031479038650238655,0.0095274554060323,9.536982861438332,1001.0,0.0004997503120320105,5.007739327747256e-05,0.004987287836494368,0.00015916316134022276,0.0015691468570558974
1000,0.0001,1.0,0.1,256,0.001,0.0035391244688340734,0.06259999000998752,0.04270761238761241,0.003554629468666125,3.558184098134791,1001.0,0.0004997503120320105,5.007739327747256e-05,0.004987287836494368,0.00015916316134022276,0.0015691468570558974
1000,0.0001,1.0,0.1,256,0.003,0.02262173764372432,0.3810177677877654,0.3620796891996893,0.022773757330279337,22.796531087609615,1001.0,0.0004997503120320105,5.007739327747256e-05,0.004987287836494368,0.00015916316134022276,0.0015691468570558974
1000,0.0001,1.0,0.1,256,0.01,0.2520870247794594,4.028044990009988,4.020037062937065,0.25369748197160497,253.95117945357657,1001.0,0.0004997503120320105,5.007739327747256e-05,0.004987287836494368,0.00015916316134022276,0.0015691468570558974
1000,0.0001,1.0,0.1,256,0.03,2.2671584304100953,36.09202276778777,36.180110678210696,2.28155228973209,2283.833842021822,1001.0,0.0004997503120320105,5.007739327747256e-05,0.004987287836494368,0.00015916316134022276,0.0015691468570558974
1000,0.0001,1.0,0.1,256,0.1,25.1909880710715,400.82002024001014,402.00119905194833,25.350965767052184,25376.316732819236,1001.0,0.0004997503120320105,5.007739327747256e-05,0.004987287836494368,0.00015916316134022276,0.0015691468570558974
1000,0.0001,1.0,0.1,256,0.3,226.71981104736903,3607.220020017788,3618.0107892386513,228.15959496511343,228387.75456007855,1001.0,0.0004997503120320105,5.007739327747256e-05,0.004987287836494368,0.00015916316134022276,0.0015691468570558974
