run_name,variant,h_label,h,status,steps_completed,best_eval_acc,best_eval_step,last_eval_acc,last_eval_step,best_eval_loss,last_eval_loss,final_train_loss,d_h_finite_rate,skip_update_frac,delta_q_norm_last,ideal_displacement_norm_last,norm_ratio_last,alignment_last,active_frac_last,active_set_norm_ratio_last,update_norm_last,update_norm_ratio_vs_standard_last,clipped_frac,richardson_relerr_last,seconds_per_step,peak_gpu_mem,run_dir,notes
int4_effdir_effdir_active_h1e-3_step300,effdir_active,1e-3,0.001,complete,300,0.2939110070257611,200,0.28337236533957844,300,1.5708385172716628,1.5708385172716628,1.57373046875,1.0,0.0,72.48679350009456,37.710239690965444,1.9222045283753235,0.402765474182473,0.09928679972568615,0.47435764118219403,0.15285275734488127,0.47435764813266257,0.0,0.46969696969695507,0.6090447068214416,8764.65087890625,outputs/rtnclip_int4_effdir_phaseD_seed16_20260520_1819/runs/int4_effdir_effdir_active_h1e-3_step300,Dense directions and updates are restricted to INT4-quantized Linear.weight tensors.
int4_effdir_effdir_active_h2e-3_step300,effdir_active,2e-3,0.002,complete,300,0.2728337236533958,200,0.2728337236533958,300,1.5919363839285714,1.5919363839285714,1.59521484375,1.0,0.0,115.97664805201003,75.42424006576364,1.537657495135338,0.5896257425809864,0.2333131503479322,0.6900765925295814,0.1810769345280076,0.690076589557021,0.0,0.5985915492957573,0.5892117261886597,8764.65087890625,outputs/rtnclip_int4_effdir_phaseD_seed16_20260520_1819/runs/int4_effdir_effdir_active_h2e-3_step300,Dense directions and updates are restricted to INT4-quantized Linear.weight tensors.
int4_effdir_effdir_active_h3e-3_step300,effdir_active,3e-3,0.003,complete,300,0.2107728337236534,300,0.2107728337236534,300,1.583801412470726,1.583801412470726,1.6396484375,1.0,0.0,149.700149362841,113.13286968210963,1.3232241857161398,0.7152010282160459,0.3498153185118653,0.8118936597926634,0.2690972342331714,0.8118936695450635,0.0,0.11475409836064991,0.6021501938501994,8764.65087890625,outputs/rtnclip_int4_effdir_phaseD_seed16_20260520_1819/runs/int4_effdir_effdir_active_h3e-3_step300,Dense directions and updates are restricted to INT4-quantized Linear.weight tensors.
int4_effdir_effdir_active_h5e-4_step300,effdir_active,5e-4,0.0005,complete,300,0.30210772833723654,300,0.30210772833723654,300,1.5597052473653397,1.5597052473653397,1.57958984375,1.0,0.0,38.551245745946254,18.85662822770715,2.044440038824046,0.2510757797158973,0.03183472533965239,0.29107036978050743,0.048239698195124144,0.29107039140792057,0.0,0.6785714285714038,0.5927758844693501,8764.64697265625,outputs/rtnclip_int4_effdir_phaseD_seed16_20260520_1819/runs/int4_effdir_effdir_active_h5e-4_step300,Dense directions and updates are restricted to INT4-quantized Linear.weight tensors.
int4_effdir_effdir_global_h1e-3_step1000,effdir_global,1e-3,0.001,complete,1000,0.2939110070257611,800,0.2892271662763466,1000,1.561891649590164,1.5633759331088992,1.54833984375,1.0,0.0,59.66143983053301,37.71498455848325,1.581902804123295,0.37511306586324417,0.0741187228656078,0.4356489177127867,0.4695957542133548,1.0000000643311062,0.0,1.5499999999998413,0.5864892342090606,8764.65087890625,outputs/rtnclip_int4_effdir_phaseD_seed16_20260520_1819/runs/int4_effdir_effdir_global_h1e-3_step1000,Dense directions and updates are restricted to INT4-quantized Linear.weight tensors.
int4_effdir_effdir_global_h1e-3_step300,effdir_global,1e-3,0.001,complete,300,0.30562060889929743,200,0.2939110070257611,300,1.5686521150468384,1.5686521150468384,1.61083984375,1.0,0.0,63.29269313748235,37.714072629789705,1.6782248302583702,0.38465833573826186,0.08116534845869453,0.44811406889004934,0.06445275910514808,0.9999999895718964,0.0,0.8409090909090519,0.5879289642969767,8764.65087890625,outputs/rtnclip_int4_effdir_phaseD_seed16_20260520_1819/runs/int4_effdir_effdir_global_h1e-3_step300,Dense directions and updates are restricted to INT4-quantized Linear.weight tensors.
int4_effdir_effdir_global_h2e-3_step300,effdir_global,2e-3,0.002,complete,300,0.3126463700234192,300,0.3126463700234192,300,1.574831674473068,1.599636819379391,1.60498046875,1.0,0.0,114.68996805659857,75.42059007947694,1.5206718475119159,0.5892638471170878,0.22979989623232439,0.6879221896899276,0.23476868082259994,1.0000000588648532,0.0,13.74999999998592,0.6079948608080546,8764.65087890625,outputs/rtnclip_int4_effdir_phaseD_seed16_20260520_1819/runs/int4_effdir_effdir_global_h2e-3_step300,Dense directions and updates are restricted to INT4-quantized Linear.weight tensors.
int4_effdir_effdir_global_h3e-3_step300,effdir_global,3e-3,0.003,complete,300,0.2775175644028103,200,0.2716627634660422,300,1.585237668325527,1.585237668325527,1.5849609375,1.0,0.0,149.2899146906586,113.13649183264229,1.3195558061981905,0.7153933362597165,0.348503296963648,0.8113847017891047,0.2516599428130061,0.9999999595305992,0.0,1.1578947368419181,0.5948270153999329,8764.65087890625,outputs/rtnclip_int4_effdir_phaseD_seed16_20260520_1819/runs/int4_effdir_effdir_global_h3e-3_step300,Dense directions and updates are restricted to INT4-quantized Linear.weight tensors.
int4_effdir_effdir_global_h5e-4_step1000,effdir_global,5e-4,0.0005,complete,1000,0.29508196721311475,800,0.2786885245901639,1000,1.5573770491803278,1.5573770491803278,1.51904296875,1.0,0.0,20.597661098204227,18.85716504090908,1.0922989247598032,0.17272365225916925,0.011032290376695562,0.1983401103024552,0.018415199850942116,0.9999999790759453,0.0,1.0833333333332409,0.5878506772518158,8764.65087890625,outputs/rtnclip_int4_effdir_phaseD_seed16_20260520_1819/runs/int4_effdir_effdir_global_h5e-4_step1000,Dense directions and updates are restricted to INT4-quantized Linear.weight tensors.
int4_effdir_effdir_global_h5e-4_step300,effdir_global,5e-4,0.0005,complete,300,0.3091334894613583,300,0.3091334894613583,300,1.562616638612412,1.562616638612412,1.55517578125,1.0,0.0,22.468681972349955,18.858198610376732,1.1914543078353923,0.18259073426802197,0.012914567276193013,0.2099131151332235,0.2394107089304831,0.9999999618486355,0.0,2.249999999999424,0.6023399591445923,8764.65087890625,outputs/rtnclip_int4_effdir_phaseD_seed16_20260520_1819/runs/int4_effdir_effdir_global_h5e-4_step300,Dense directions and updates are restricted to INT4-quantized Linear.weight tensors.
int4_effdir_effdir_secant_h1e-3_step300,effdir_secant,1e-3,0.001,complete,300,0.30562060889929743,300,0.30562060889929743,300,1.5650591883782201,1.5650591883782201,1.54931640625,1.0,0.0,72.73219898428246,37.712877593871426,1.9285772824744607,0.40311092424634093,0.09976786707477753,0.47492316357151154,0.13844925886457912,0.5185169371331542,0.023333333333333334,2.2083333333331447,0.5958780900637308,8764.65087890625,outputs/rtnclip_int4_effdir_phaseD_seed16_20260520_1819/runs/int4_effdir_effdir_secant_h1e-3_step300,Dense directions and updates are restricted to INT4-quantized Linear.weight tensors.
int4_effdir_effdir_secant_h2e-3_step300,effdir_secant,2e-3,0.002,complete,300,0.2775175644028103,100,0.2716627634660422,300,1.5785389527224825,1.6548549107142858,1.61474609375,1.0,0.0,116.18271415656363,75.42138761210991,1.5404478468904146,0.5896216748982313,0.23387542681543932,0.6903990170372046,0.30779726884589304,0.6491618336222739,0.03333333333333333,0.35526315789471774,0.589449114004771,8764.65087890625,outputs/rtnclip_int4_effdir_phaseD_seed16_20260520_1819/runs/int4_effdir_effdir_secant_h2e-3_step300,Dense directions and updates are restricted to INT4-quantized Linear.weight tensors.
int4_effdir_effdir_secant_h3e-3_step300,effdir_secant,3e-3,0.003,complete,300,0.2857142857142857,300,0.2857142857142857,300,1.5747264710187354,1.5747264710187354,1.6904296875,1.0,0.0,149.87898058852232,113.13895437940415,1.3247336552705937,0.7151265110312566,0.3503516671226565,0.8121061734164047,0.0324346450613893,0.7548687206077315,0.02666666666666667,1.1228070175437992,0.6001446851094564,8764.65087890625,outputs/rtnclip_int4_effdir_phaseD_seed16_20260520_1819/runs/int4_effdir_effdir_secant_h3e-3_step300,Dense directions and updates are restricted to INT4-quantized Linear.weight tensors.
int4_effdir_effdir_secant_h5e-4_step300,effdir_secant,5e-4,0.0005,complete,300,0.29156908665105385,300,0.29156908665105385,300,1.5630351653981265,1.5630351653981265,1.57080078125,1.0,0.0,34.04569641974978,18.858114853565578,1.8053605402297581,0.2356271024515062,0.02608015580450998,0.27213890840405663,0.17341364195238276,0.5539059304140765,0.02,1.8333333333330204,0.5894816215833029,8764.64697265625,outputs/rtnclip_int4_effdir_phaseD_seed16_20260520_1819/runs/int4_effdir_effdir_secant_h5e-4_step300,Dense directions and updates are restricted to INT4-quantized Linear.weight tensors.
int4_effdir_standard_h1e-3_step1000,standard,1e-3,0.001,complete,1000,0.26346604215456676,400,0.2107728337236534,1000,1.5814549180327868,1.5944086651053864,1.55126953125,1.0,0.0,82.35201986354821,37.71242434092597,2.1836840591066595,0.4079974848245287,0.11802874771855111,0.49225570406283536,0.24859263551481875,0.9999999999959773,0.0,0.3863636363636184,0.5350781259536743,8764.65087890625,outputs/rtnclip_int4_effdir_phaseD_seed16_20260520_1819/runs/int4_effdir_standard_h1e-3_step1000,Dense directions and updates are restricted to INT4-quantized Linear.weight tensors.
int4_effdir_standard_h1e-3_step300,standard,1e-3,0.001,complete,300,0.33021077283372363,300,0.33021077283372363,300,1.5625068610948478,1.5625068610948478,1.5947265625,1.0,0.0,82.34959443558581,37.71485392834682,2.183479076759434,0.4079712451161665,0.11802489467985917,0.4922564223437096,0.42355546910864905,0.9999999999976391,0.0,0.041666666666664895,0.5469033710161845,8764.65087890625,outputs/rtnclip_int4_effdir_phaseD_seed16_20260520_1819/runs/int4_effdir_standard_h1e-3_step300,Dense directions and updates are restricted to INT4-quantized Linear.weight tensors.
int4_effdir_standard_h2e-3_step300,standard,2e-3,0.002,complete,300,0.27400468384074944,300,0.27400468384074944,300,1.5822576661299765,1.5822576661299765,1.65771484375,1.0,0.0,119.38270599309332,75.42554562571554,1.5827887621192027,0.5882462168217545,0.24205359143705182,0.6944132893893336,1.0081905191671987,0.999999999999008,0.0,0.3633720930232515,0.5495822739601135,8764.65087890625,outputs/rtnclip_int4_effdir_phaseD_seed16_20260520_1819/runs/int4_effdir_standard_h2e-3_step300,Dense directions and updates are restricted to INT4-quantized Linear.weight tensors.
int4_effdir_standard_h3e-3_step300,standard,3e-3,0.003,complete,300,0.15105386416861827,100,0.14988290398126464,300,1.6298462199941453,1.6298462199941453,1.78662109375,1.0,0.0,151.12889101199065,113.14904714195329,1.3356620743114849,0.7140605590332115,0.35394100047158944,0.8133166724797367,0.199508678986859,0.9999999999949877,0.0,10579427083333.334,0.5381479279200236,8764.65087890625,outputs/rtnclip_int4_effdir_phaseD_seed16_20260520_1819/runs/int4_effdir_standard_h3e-3_step300,Dense directions and updates are restricted to INT4-quantized Linear.weight tensors.
int4_effdir_standard_h5e-4_step1000,standard,5e-4,0.0005,complete,1000,0.31381733021077285,1000,0.31381733021077285,1000,1.561374780444965,1.561431956235363,1.5693359375,1.0,0.0,57.36448695340422,18.856521797772064,3.0421563196336088,0.28238980579388817,0.05708777717129136,0.3411589334850485,0.33146226717355975,0.9999999999969831,0.0,3.499999999999104,0.5410972125530243,8766.64794921875,outputs/rtnclip_int4_effdir_phaseD_seed16_20260520_1819/runs/int4_effdir_standard_h5e-4_step1000,Dense directions and updates are restricted to INT4-quantized Linear.weight tensors.
int4_effdir_standard_h5e-4_step300,standard,5e-4,0.0005,complete,300,0.27985948477751754,200,0.27400468384074944,300,1.5691232435597189,1.5691232435597189,1.5732421875,1.0,0.0,57.37916074865135,18.855710048069827,3.0430655012390773,0.28239478623023023,0.057109407624269214,0.3412365595588928,0.11048267177346556,0.9999999999909488,0.0,1.1764705882352586,0.5501583806673686,8766.64794921875,outputs/rtnclip_int4_effdir_phaseD_seed16_20260520_1819/runs/int4_effdir_standard_h5e-4_step300,Dense directions and updates are restricted to INT4-quantized Linear.weight tensors.
