precision,checkpoint,h,mse,nmse,corr,bias,mae,median_abs_error,active_frac,alignment,norm_ratio,fd_zero_ratio,d_fd_mean,d_fd_std,d_true_mean,d_true_std,num_directions,delta_q_norm_mean,nominal_delta_norm_mean,snapping_norm_error_rms_proxy
fp32,initial_cached_step0,1e-05,0.00028791210061399395,1.5530719737265915e-06,0.9999992271963561,0.002496213912963867,0.01323385238647461,0.010894775390625,0.9998623606027013,0.9999999972731268,1.0000000791861665,0.0,1.7888545989990234,13.49752205091607,1.7863583850860596,13.49782402377326,50,0.4039521243343558,0.403952092345953,3.931877408135241e-08
fp32,initial_cached_step0,3e-05,0.009414182912223507,5.078252565741401e-05,0.9999744773293731,0.010602655410766602,0.05584041655063629,0.01735866069793701,0.9999540725956436,0.999999998355555,1.0000000251905568,0.0,1.7969610404968261,13.498847218030695,1.7863583850860596,13.49782402377326,50,1.211856308609458,1.21185627808112,3.842508490704364e-08
fp32,initial_cached_step0,0.0001,0.13661718966620584,0.0007369482836858632,0.9996417065320357,0.07613184928894043,0.23587188720703126,0.10900211334228516,0.9999861403006537,0.9999999985722406,1.0000000057790268,0.0,1.862490234375,13.50997748072622,1.7863583850860596,13.49782402377326,50,4.039520946507946,4.039520923162555,4.0800496632188295e-08
fp32,initial_cached_step0,0.0003,0.36917595540008624,0.002004686603030121,0.9990562865451272,-0.03576123058795929,0.4658738845586777,0.356897234916687,0.9999953289976989,1.000000000267846,1.0000000034622363,0.0,-1.7493606382608413,13.610398362082387,-1.713599407672882,13.4617985684197,50,12.118601173939366,12.11860113198102,6.476090273919664e-08
fp32,initial_cached_step0,0.001,0.612236921252227,0.003324547918037188,0.9983311547128392,-0.0074262479692697525,0.6352255729585886,0.5733822584152222,0.999998535072016,1.0000000002056293,1.0000000012488048,0.0,-1.721025655642152,13.527820891411883,-1.713599407672882,13.4617985684197,50,40.395337104886195,40.395337054439864,1.3259947985871808e-07
fp32,initial_cached_step0,0.0015,1.2685563525499743,0.005724931929732675,0.9974956717578123,0.11378440290689468,0.9236392220854759,0.8420525193214417,0.9999989944553898,0.9999999994872948,1.0000000010844214,0.0,-0.17842363446950912,14.46140721310669,-0.29220803737640383,14.882847333274103,50,60.592480805670995,60.592480739962895,1.936648560628921e-07
fp32,initial_cached_step0,0.002,3.0623548118685076,0.0165191300462089,0.9919862274118294,0.01775604397058487,1.3547248110175132,0.9909645318984985,0.9999992320404303,0.9999999995658224,0.9999999999434788,0.0,1.8041144290566444,12.997658831067499,1.7863583850860596,13.49782402377326,50,80.7904244310567,80.7904244356217,2.1620429290865665e-07
fp32,initial_cached_step0,0.003,10.608103210878452,0.05722283904038737,0.9711170480071846,-0.1524905146099627,2.544108523633331,2.0022377967834473,0.9999994625655769,0.9999999993250149,1.0000000007171166,0.0,1.633867870476097,12.64710273757889,1.7863583850860596,13.49782402377326,50,121.18563192102333,121.1856318341175,2.749114229396762e-07
fp32,initial_cached_step0,0.004,23.823669382992907,0.12851100440429417,0.9337904691113869,-0.6236303222179412,3.887842421531677,3.023555353283882,0.9999995786616099,0.9999999992944042,1.0000000005391023,0.0,1.1627280628681183,12.275761708207677,1.7863583850860596,13.49782402377326,50,161.5808489583556,161.5808488712434,4.035016393939068e-07
fp32,initial_cached_step0,0.005,39.23033170997613,0.21302720088091226,0.889412591735061,1.1600329327583312,5.147514741420746,4.498322427272797,0.99999965421228,0.9999999996355485,1.0000000006356533,0.0,-0.5535664749145508,11.833113561987131,-1.713599407672882,13.4617985684197,50,201.97667124256247,201.97667111417465,5.266451853122048e-07
fp32,initial_cached_step0,0.01,332.355385392128,1.4999033775876707,-0.062206842624020854,3.6056906747817994,15.643684840202331,13.582621574401855,0.9999997875168044,0.9999999990413021,1.0000000007925136,0.0,3.3134826374053956,9.009594899257635,-0.29220803737640383,14.882847333274103,50,403.9498593625608,403.9498590424238,8.782492923029863e-07
fp16,initial_cached_step0,1e-05,63.44686442695097,0.16111008891785145,0.9388946189564407,0.8493631076812744,6.526812191009522,5.775206565856934,0.9976220503548795,1.000000003360479,1.0000002602441982,0.0,2.3956298828125,22.619069149628082,1.5462667751312256,19.784329194571722,50,0.403950756563833,0.40395065143701897,1.05159243580154e-07
