task,h,visibility_mse,active_frac,alignment,norm_ratio,Q_term,C_term,bound_proxy,fd_nmse,corr,G,L,d
sst-2,0.0001,41.85823482829014,0.0010995475655379981,0.12673011351883595,6.520029683274061,53342.63566807612,12325.28253925426,116950.00303224911,7.011304189518272,0.205415007970504,35.69823796064657,0.0003669103670044343,35588469.0
sst-2,0.0002,20.79447235247989,0.002222739844787236,0.180554631958895,4.633314525196675,26499.730988621028,12572.617806006761,75578.29295071973,4.077894346996859,-0.04526611420359901,35.69823796064657,0.0003669103670044343,35588469.0
sst-2,0.0003,13.745293753398496,0.003365019419989031,0.22255605050422683,3.799541157654194,17516.51018840082,12792.803069377896,60248.268837622396,5.53045445940961,-0.08282487065401441,35.69823796064657,0.0003669103670044343,35588469.0
sst-2,0.0005,8.07418609322734,0.005701053819124449,0.2905707371489595,2.9661299100761105,10289.453648823785,13197.731045845761,46793.61658510465,3.0466934881184153,0.3159716402130177,35.69823796064657,0.0003669103670044343,35588469.0
sst-2,0.0007,5.616304752483721,0.008093189614273407,0.34705357471213055,2.523461279982114,7157.217676320761,13551.309153632441,40405.19349329149,3.79183767646246,0.17492669836169158,35.69823796064657,0.0003669103670044343,35588469.0
sst-2,0.00085,4.521321263790974,0.009920088890201871,0.3848004434080514,2.30036623972945,5761.809925862544,13798.261916067035,37392.95859283407,3.936835188863914,0.375333175991348,35.69823796064657,0.0003669103670044343,35588469.0
sst-2,0.001,3.748324108629425,0.011771132091722418,0.419699893104894,2.1298086441606334,4776.730029651208,14033.336314777722,35184.85904430681,5.23486822670131,0.03213827374446949,35.69823796064657,0.0003669103670044343,35588469.0
sst-2,0.0012,3.0103167502029375,0.014269618298489713,0.4627023655731408,1.9541479897604548,3836.2398775366996,14321.578405826713,32982.25893921292,2.858156818285837,0.21571229626163924,35.69823796064657,0.0003669103670044343,35588469.0
sst-2,0.0015,2.2625957907799066,0.018062427320375073,0.5213471782173744,1.7600556279347273,2883.3710601222997,14726.06411740321,30641.81133931978,2.025352811277725,0.4243411723189792,35.69823796064657,0.0003669103670044343,35588469.0
sst-2,0.0018,1.7591645761568724,0.021868427488875252,0.5741480954485855,1.6176089651410754,2241.816346319035,15129.960109712538,29019.710503425296,3.53281398923704,0.42763669971297225,35.69823796064657,0.0003669103670044343,35588469.0
sst-2,0.002,1.507347126012719,0.024386095209048674,0.6064674901912108,1.541961971555076,1920.9092045581262,15422.445199620448,28229.146417761083,2.641752767799597,0.464909571034882,35.69823796064657,0.0003669103670044343,35588469.0
sst-2,0.0025,1.0621851389909436,0.03049486591798872,0.677601286672582,1.3996321924172643,1353.6107079925132,16358.154329726724,27122.944105978895,1.4160068439925784,0.47172357572719487,35.69823796064657,0.0003669103670044343,35588469.0
sst-2,0.003,0.7810980701367737,0.03617297796294823,0.7354891713171294,1.3029769606408368,995.40341219031,17692.452878134853,27080.97918109989,1.008061481501052,0.5163052043458647,35.69823796064657,0.0003669103670044343,35588469.0
sst-2,0.0035,0.5952997250570207,0.041314329835133966,0.7815586774405524,1.2355781555456222,758.6286540100544,19472.224452660106,27917.773797584876,1.0522298736128315,0.45978933937841804,35.69823796064657,0.0003669103670044343,35588469.0
sst-2,0.004,0.4675658503658259,0.04589723780947649,0.8178602128836244,1.1872667294698793,595.8491778072253,21682.62036510223,29467.230637076478,0.7216981456251367,0.5627905362822537,35.69823796064657,0.0003669103670044343,35588469.0
sst-2,0.005,0.3100574431255389,0.05353086896211808,0.8690166250876618,1.1244521999703059,395.1261034457831,27258.54023461168,34217.37284841339,1.114963699449892,-0.12442365271924033,35.69823796064657,0.0003669103670044343,35588469.0
sst-2,0.007,0.16648118410312165,0.06421367239643032,0.9234527203572993,1.0621830659320854,212.15765991165858,42539.47886629744,48759.9894752743,2.508404624606711,-0.5516097759157756,35.69823796064657,0.0003669103670044343,35588469.0
sst-2,0.01,0.0880008052469984,0.07367839515012649,0.9572985254516113,1.0237911405801707,112.14507520549711,74927.9861468956,80837.64953304759,3.766743020984868,-0.5135218095676516,35.69823796064657,0.0003669103670044343,35588469.0
sst-5,0.0001,41.257285290007246,0.0011062197128659317,0.12746738808203323,6.473610004777358,162333.5743940903,2299.133714252858,203270.8547432234,99.86751046535974,-0.3216892136317847,62.72690384513612,0.00016084839833201015,35566596.0
sst-5,0.0002,20.495945486956536,0.0022365223237749473,0.18161549893482296,4.600769932927514,80644.66840453849,2346.17367586612,110501.305406905,68.75019255475048,-0.34144037776848585,62.72690384513612,0.00016084839833201015,35566596.0
sst-5,0.0003,13.554014002195427,0.003387025615001224,0.22389572842248812,3.774126963275231,53330.49726606349,2390.4883635484903,78302.91939417513,62.848574835329366,-0.17894351560246516,62.72690384513612,0.00016084839833201015,35566596.0
sst-5,0.0005,7.962529172916977,0.0057395113958822325,0.29232524953249484,2.947129004394643,31329.880596140534,2468.9636495013115,51388.879644706576,42.44944853097779,0.08116616517554583,62.72690384513612,0.00016084839833201015,35566596.0
sst-5,0.0007,5.53873317660475,0.008149740727057713,0.3491953275584299,2.508053873038828,21793.056616625137,2538.1753642064978,39205.98904305962,38.1221004227159,0.06453148428701701,62.72690384513612,0.00016084839833201015,35566596.0
sst-5,0.00085,4.457895881310406,0.009990601855049696,0.3871926701831585,2.286617293575319,17540.324517306224,2585.769967999249,33595.354949905806,22.03883748009522,0.15868741639103537,62.72690384513612,0.00016084839833201015,35566596.0
sst-5,0.001,3.6944913813601308,0.011855750134321991,0.42230221724013617,2.117244821479704,14536.583958169704,2630.646048721286,29535.028056902047,17.965026477751227,0.18483857424471467,62.72690384513612,0.00016084839833201015,35566596.0
sst-5,0.0012,2.965327764848727,0.014372630592137236,0.4655618926693719,1.9427469020392074,11667.569786384454,2685.3784121338854,25547.91850244008,11.579926129794881,0.21412699893940992,62.72690384513612,0.00016084839833201015,35566596.0
sst-5,0.0015,2.2261326415866156,0.01819521832554701,0.5245830268881663,1.7498666447770832,8759.085001446787,2761.7249946159122,21357.51350454784,6.467862756562861,0.18069368943523573,62.72690384513612,0.00016084839833201015,35566596.0
sst-5,0.0018,1.728332612318346,0.022031479600325702,0.5776973514464225,1.6082636051241148,6800.408915112684,2837.6056947679435,18423.6572304917,4.902887992144777,0.16369996752818994,62.72690384513612,0.00016084839833201015,35566596.0
