setting,formula,h,actual_nmse,pred_nmse,pred_over_actual_nmse
fp32_seed16,old_h4_full_bound,1e-05,1.5530719737265915e-06,0.00020390821989793936,131.29347728081282
fp32_seed16,old_h4_full_bound,3e-05,5.078252565741401e-05,0.0017583139356343609,34.62438925342531
fp32_seed16,old_h4_full_bound,0.0001,0.0007369482836858,0.019440836133305894,26.380190528531784
fp32_seed16,old_h4_full_bound,0.0003,0.0020046866030301,0.17605589515756795,87.82215379274648
fp32_seed16,old_h4_full_bound,0.001,0.0033245479180371,1.9560801296165156,588.3747739065335
fp32_seed16,old_h4_full_bound,0.0015,0.0057249319297326,3.6577621762117425,638.9180205296501
fp32_seed16,old_h4_full_bound,0.002,0.0165191300462089,7.772551846697076,470.51823098159196
fp32_seed16,old_h4_full_bound,0.003,0.0572228390403873,17.488229806240444,305.61625566843037
fp32_seed16,old_h4_full_bound,0.004,0.1285110044042941,31.09017894960288,241.92619996800852
fp32_seed16,old_h4_full_bound,0.005,0.2130272008809122,48.901774228330545,229.55647929518597
fp32_seed16,old_h4_full_bound,0.01,1.499903377587671,162.5668633004196,108.38489047333145
fp32_seed16,old_h4_hdep_only,1e-05,1.5530719737265915e-06,0.00019442916170551443,125.19005235731751
fp32_seed16,old_h4_hdep_only,3e-05,5.078252565741401e-05,0.0017488348774419389,34.437729411881215
fp32_seed16,old_h4_hdep_only,0.0001,0.0007369482836858,0.01943135707511347,26.367327945902492
fp32_seed16,old_h4_hdep_only,0.0003,0.0020046866030301,0.17604635299951982,87.81739386766206
fp32_seed16,old_h4_hdep_only,0.001,0.0033245479180371,1.9560705874584674,588.3719036943172
fp32_seed16,old_h4_hdep_only,0.0015,0.0057249319297326,3.6577542458301022,638.9166352936792
fp32_seed16,old_h4_hdep_only,0.002,0.0165191300462089,7.772542367638883,470.5176571585053
fp32_seed16,old_h4_hdep_only,0.003,0.0572228390403873,17.48822032718225,305.6160900167718
fp32_seed16,old_h4_hdep_only,0.004,0.1285110044042941,31.090169470544687,241.92612620733536
