h,n_batches,n_directions,fd_true_available,weight_recon_mse_mean,plus_recon_mse_mean,minus_recon_mse_mean,delta_visibility_nmse_mean,delta_visibility_nmse_median,delta_visibility_rel_l2_mean,alignment_mean,norm_ratio_mean,active_frac_mean,code_change_frac_mean,clip_frac_mean,saturation_frac_mean,richardson_rmse_rel,richardson_relerr_median,fd_true_mse,fd_true_nmse,fd_true_rmse,corr_fd_true,fd_true_bias
1e-05,1,16,True,4.507931335054155e-06,4.507949022783154e-06,4.5079499064167335e-06,227.48730165171165,227.44493997689614,15.082681154790073,0.054141466546679805,15.10373288823871,0.001896702416209627,0.001896702416209627,0.028355951722862646,0.028355951722862646,0.6042537677199992,0.5541795665634675,222649.38112815586,520.6148408606313,471.8573737138754,-0.3174248255279775,-199.3391527764338
3e-05,1,16,True,4.507931335054155e-06,4.50809374828202e-06,4.5080933911952304e-06,75.61690445459944,75.62049770728387,8.69579790355343,0.09402988402125402,8.732649145790841,0.005705235171482159,0.005705235171482159,0.028355820957672705,0.028355820957672705,0.877595753182451,0.8325892857142858,75177.71625787271,131.6099831233774,274.185550782445,0.043762085321587665,4.318741598758709
0.0001,1,16,True,4.507931335054155e-06,4.509662172875512e-06,4.509661672805391e-06,22.455540795146923,22.455116426753296,4.738727723689178,0.17309487848914445,4.808340531405499,0.019218732351957816,0.019218732351957816,0.028356794443722785,0.028356794443722785,0.6435125404145915,0.6818181818181819,26131.963682122838,152.00736243338048,161.653839057793,-0.19045467298166652,-31.06333341014563
0.0003,1,16,True,4.507931335054155e-06,4.521683284349937e-06,4.521744531401158e-06,7.200326225751041,7.20013298682023,2.6833423580853917,0.30576703765562024,2.8145156678310292,0.059243839715334125,0.059243839715334125,0.028366257120962357,0.028366257120962357,0.7746608024511026,0.7420634920634921,3911.960271685948,7.878052618273031,62.545665490791194,0.1990490637486484,-13.30163205284848
0.001,1,16,True,4.507931335054155e-06,4.610968297786531e-06,4.610776753249371e-06,1.6856847057079023,1.6856949742834808,1.2983392099804283,0.5807719993496581,1.5921971424861032,0.2101450007793263,0.2101450007793263,0.028499578681027298,0.028499578681027298,1.0592079446919074,1.671301446051168,1518.0672587653723,5.71634754735968,38.96238261150584,0.39750376699692214,16.13813677317354
0.0015,1,16,True,4.507931335054155e-06,4.686870702024952e-06,4.686765643414774e-06,0.8727439400897608,0.8727500184958987,0.9342076528953505,0.7135441309683229,1.3315159474410367,0.3195277555470257,0.3195277555470257,0.02871606049916821,0.02871606049916821,0.8177458464690956,0.9702797202797202,798.444132607859,1.854662029725723,28.25675375211843,0.364601671925615,0.5382123172423903
0.002,1,16,True,4.507931335054155e-06,4.7587352283643616e-06,4.758781854015515e-06,0.5148288770947979,0.5148325527963912,0.7175157674928255,0.8029951122294233,1.2025323771684056,0.41676805736426503,0.41676805736426503,0.02903675221727985,0.02903675221727985,0.6630178068520832,0.6809583333333333,241.45922653551128,0.5421256760967027,15.538958347827286,0.8274394211254475,1.4607252452937742
0.003,1,16,True,4.507931335054155e-06,4.889451235569016e-06,4.889328405020292e-06,0.2398298023550321,0.23983471181108604,0.4897242101090921,0.8943770244621909,1.0937261239081604,0.5600577544133324,0.5600577544133324,0.02992981688263576,0.02992981688263576,0.8581683869644744,0.8278005974607916,531.4852942458538,0.7942113862009239,23.05396482702821,0.6225660652153692,-2.1431653233279633
0.004,1,16,True,4.507931335054155e-06,5.033008601239817e-06,5.033129683399198e-06,0.14097420800745492,0.14097091998809763,0.37546532144335726,0.9339662869555959,1.049149761506203,0.6519027823776747,0.6519027823776747,0.0311531663902464,0.0311531663902464,0.8181898238935849,0.8076431084106173,595.2903550038137,0.5531507315920412,24.39857280669945,0.7293692668156866,-1.8288097575959892
0.005,1,16,True,4.507931335054155e-06,5.2177280552492994e-06,5.217429366115919e-06,0.09483616040313093,0.09483773784480065,0.30795480202301473,0.9541183737309704,1.0260769118568365,0.7134667905118612,0.7134667905118612,0.0327647274795702,0.0327647274795702,0.9941562838641294,1.260979442745498,375.24278084974856,0.7080436334674773,19.371184291357835,0.5912501752502053,-3.3270320598743974
0.01,1,16,True,4.507931335054155e-06,7.215185216235806e-06,7.214786090276594e-06,0.03449463931500906,0.034494157911870105,0.18572732464408434,0.9826030492091293,0.9844446498718259,0.8498525541231001,0.8498525541231001,0.047767758044412266,0.047767758044412266,1.0728148404347937,1.1744290192566056,438.23212199234894,0.8575605885759294,20.93399441082253,0.3845377139574787,-1.657443291233142
